stage,episode,total_reward,average_reward,steps,video,warmup_peak
warmup,1,-177840.3129282838,-94.44520070540828,1883,,False
warmup,2,-177245.20341762734,-94.12915741775217,1883,,False
warmup,3,-178149.2326077336,-94.60925789045864,1883,,False
warmup,4,-177596.6279074963,-94.31578752389606,1883,,False
warmup,5,-178351.33463612726,-94.71658769842128,1883,,False
warmup,6,-175941.1258135256,-93.43660425572257,1883,D:\code\sem-proj-asc\backend\autonomous_control\models\nb-mpo-2026-05-18_15-34-20\warmup_best.mp4,True
warmup,7,-177800.0,-94.42379182156134,1883,,False
warmup,8,-177461.12757299858,-94.24382770738109,1883,,False
warmup,9,-178221.14335810428,-94.6474473489667,1883,,False
warmup,10,-178187.53407813667,-94.629598554507,1883,,False
warmup,11,-178055.85364338034,-94.55966736238999,1883,,False
warmup,12,-177047.03972354624,-94.02391913093268,1883,,False
warmup,13,-177152.67452003038,-94.08001833246436,1883,,False
warmup,14,-178101.37613137715,-94.58384287380625,1883,,False
warmup,15,-177349.0025009596,-94.1842817317895,1883,,False
warmup,16,-177629.0164317307,-94.33298801472688,1883,,False
