global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,-189700.0,-100.0,1897,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,-189700.0,-100.0,1897,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,-189700.0,-100.0,1897,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,-189700.0,-100.0,1897,0,nan,nan,nan,nan,nan,nan,0,False
4,train,0,-189700.0,-100.0,1897,1897,480.19308560063917,-0.4283216643177141,92367.01042850381,46183.43436688816,46183.576076711426,19.82509313411441,9485,False
5,train,1,-189600.0,-99.94728518713758,1897,1897,1105.4038209038529,-0.43491804580909676,119485.21078512125,59742.605384323935,59742.60539873814,1088.5553392883849,11382,False
6,train,2,-189600.0,-99.94728518713758,1897,1897,3208.266224256238,-0.43491355038719803,134136.22736557722,67068.11368278861,67068.11368278861,87451.98976488369,13279,False
7,train,3,-189600.0,-99.94728518713758,1897,1897,7313.401999639095,-0.43491342140614014,142964.79715504745,71482.39857752372,71482.39857752372,7111556.6573207695,15176,False
8,train,4,-189600.0,-99.94728518713758,1897,1897,11644.577498609415,-0.43491293052402874,143026.6305762388,71513.3152881194,71513.3152881194,566911363.8481814,17073,False
9,train,5,-189600.0,-99.94728518713758,1897,1897,14527.679021772989,-0.43492066795787,143469.572594063,71734.7862970315,71734.7862970315,45337868809.58144,18970,False
10,train,6,-189600.0,-99.94728518713758,1897,1897,20197.891286029524,-0.43491509679310186,160925.986656563,80462.9933282815,80462.9933282815,3920915429143.886,20867,False
11,train,7,-189600.0,-99.94728518713758,1897,1897,22723.165328903076,-0.4349181956533513,164816.291105199,82408.1455525995,82408.1455525995,75080216892745.81,22764,False
12,train,8,-189600.0,-99.94728518713758,1897,1897,28511.191009382732,-0.4349109149318528,164828.26801363996,82414.13400681998,82414.13400681998,93585013735424.0,24661,False
13,train,9,-189600.0,-99.94728518713758,1897,1897,32834.30488892285,-0.43491771281488206,164982.989296422,82491.494648211,82491.494648211,93585013735424.0,26558,False
14,eval,0,-189600.0,-99.94728518713758,1897,0,nan,nan,nan,nan,nan,nan,0,False
15,eval,1,-189600.0,-99.94728518713758,1897,0,nan,nan,nan,nan,nan,nan,0,False
