global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,482.88158450675263,0.9358170242378927,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,417.4683372629012,0.8090471652381805,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,278.9958891702076,0.5406897076942008,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,421.6774209321472,0.8172043041320682,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,449.9159926589123,0.8719302183312253,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-784.4903790232877,-1.5203301919055963,516,510,35.145462464117536,-0.17266374839214133,-0.11708098980141621,0.00209298043842222,-0.11917397023416033,3.1210725531858556,3096,True
6,train,1,-809.5638574842034,-1.5689222044267508,516,510,64.6546851831324,-0.24115552154241823,-0.06470348134490789,0.009788946960322266,-0.07449242821072831,4.956879425516315,3612,True
7,train,2,-561.0644179930865,-1.0873341433974546,516,510,156.28351853314567,-0.3038710246483485,0.000553111204256614,0.019337243110160617,-0.01878413189283581,6.4377279534059415,4128,True
8,train,3,-250.57794143514988,-0.4856161655719959,516,510,279.3132119122673,-0.34231402903210884,0.03608208687282076,0.020340133794382508,0.01574195306200315,5.28025177600337,4644,True
9,train,4,-92.86244828512635,-0.17996598504869446,516,510,384.97803634942744,-0.38191499575680377,0.029516265636273457,0.014875133100020536,0.014641132525296188,3.8815956503737206,5160,True
10,train,5,-73.25745540660184,-0.14197181280349191,516,510,505.9782746258904,-0.40891048598523233,0.02806553423185559,0.01403254534793543,0.014032988885746283,3.098202339340659,5676,True
11,train,6,-38.914294628207934,-0.07541529966706964,516,510,669.0022206624349,-0.4342667666720409,0.02831082839664875,0.014155240921194063,0.01415558747545469,3.245636706726224,6192,True
12,train,7,-65.30695618014903,-0.1265638685661803,516,510,861.8366759057138,-0.4559049016120387,0.019140074095305274,0.009570013264230653,0.009570060832900743,3.0916069128934076,6708,True
13,train,8,-49.88907199869711,-0.09668424805949052,516,510,1041.9267040177888,-0.4685341683672924,0.014203000214754366,0.007101054622006475,0.007101945593660953,3.0905948003133137,7224,True
14,train,9,-50.71353878265646,-0.09828205190437297,516,510,1576.325201775046,-0.4781687227534313,0.013051516129909194,0.006525758064954597,0.006525758064954597,2.9428191100849825,7740,True
15,eval,0,-46.352961889904314,-0.08983132149206262,516,0,nan,nan,nan,nan,nan,nan,0,False
16,eval,1,-46.352961889904314,-0.08983132149206262,516,0,nan,nan,nan,nan,nan,nan,0,False
