global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,482.88158450675263,0.9358170242378927,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,417.4683372629012,0.8090471652381805,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,278.9958891702076,0.5406897076942008,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,421.6774209321472,0.8172043041320682,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,449.9159926589123,0.8719302183312253,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-743.3183135845828,-1.4405393674119822,516,516,34.95027420479198,-0.17368762743074534,-0.11692065755699495,0.002277984506768254,-0.11919864203578742,3.1338832826577416,3096,True
6,train,1,-784.8838568469457,-1.5210927458274142,516,516,67.76722202005313,-0.24249577813947848,-0.06426470127866366,0.009526518091393361,-0.07379121928251992,4.710213757762613,3612,True
7,train,2,-521.5763305610038,-1.010806842172488,516,516,149.56227710635164,-0.30537291604650113,0.0016629419058503568,0.01937711714990726,-0.017714175264700316,6.2040265881738,4128,True
8,train,3,-240.79045716398764,-0.46664817279842563,516,516,289.68776906922807,-0.3444076055704161,0.03480680359440834,0.01900136610854042,0.015805437453379926,5.167990028396133,4644,True
9,train,4,-107.58207572507776,-0.20849239481604218,516,516,453.3549959345381,-0.38063554217418033,0.02824474557468942,0.014238340873993182,0.014006404722354902,3.8636478855628376,5160,True
10,train,5,-63.441660609110485,-0.12294895466881876,516,516,654.0529131334881,-0.4084206857075987,0.02935237530257928,0.014676112243039318,0.014676263059539965,3.6343066174854606,5676,True
11,train,6,-54.19074421537139,-0.10502082212281277,516,516,776.5942253881647,-0.4368726140422414,0.022675502960490743,0.011337751480245371,0.011337751480245371,3.695399135582207,6192,True
12,train,7,-64.81549423067568,-0.12561142292766606,516,516,898.7456662081933,-0.45405383783486464,0.016000890135115315,0.00800043456671514,0.008000455570205064,3.5036478726438776,6708,True
13,train,8,-26.087352037994474,-0.05055688379456293,516,516,1110.1545598821122,-0.4662910701577054,0.016919209887165318,0.008459604943582659,0.008459604943582659,3.766365739726281,7224,True
14,train,9,-22.918132344506947,-0.04441498516377315,516,516,1206.708464984746,-0.4767180569758711,0.01537222809035533,0.007685857258246158,0.007686370832109174,3.7641084198803867,7740,True
15,eval,0,-38.567453080557364,-0.07474312612511116,516,0,nan,nan,nan,nan,nan,nan,0,False
16,eval,1,-38.567453080557364,-0.07474312612511116,516,0,nan,nan,nan,nan,nan,nan,0,False
