global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-808.2967301107327,-1.5664665312223502,516,516,34.85430040932441,-0.17282711930731817,-0.11672987297985905,0.0023451231640236555,-0.11907499615651693,3.2098774133726606,3096,True
6,train,1,-829.7498721693256,-1.6080423879250496,516,516,53.48030107335527,-0.24042138416868772,-0.060894909141541914,0.01142209808273573,-0.07231700715659432,5.283766378727994,3612,True
7,train,2,-546.7061719836611,-1.0595080852396532,516,516,112.11319828033447,-0.30310902074556945,0.0024411145565208306,0.01977420624619884,-0.017333091687309093,6.7750561542289205,4128,True
8,train,3,-251.30936308227348,-0.4870336493842509,516,516,176.5901244555333,-0.3408682177695193,0.034549809237869905,0.01880580188107294,0.015744007449748732,5.631055542664934,4644,True
9,train,4,-139.4201588757971,-0.27019410634844404,516,516,260.8398633557697,-0.3808477034633474,0.029846512358780056,0.014971118418557583,0.014875393893295365,4.294746834640355,5160,True
10,train,5,-92.91747993781655,-0.18007263553840416,516,516,351.6675239533417,-0.412311861854653,0.02337937356449317,0.011689678263171872,0.011689695303126187,3.3284732731737834,5676,True
11,train,6,-12.535585031490946,-0.024293769440873927,516,516,560.6287212371826,-0.43885011376105537,0.022628023449779135,0.011314007645841081,0.011314015803938053,2.5957529147466025,6192,True
12,train,7,-40.68151781029459,-0.07884015079514455,516,516,723.5043449401855,-0.459554657109024,0.020545749306000134,0.010272788639223679,0.010272960666776455,2.0467047848442728,6708,True
13,train,8,-33.866434807342166,-0.06563262559562436,516,516,1131.2417754239814,-0.4719024709490843,0.016269948645747562,0.008134893417834889,0.008135055227912674,1.6766393524269725,7224,True
14,train,9,-46.247096320662784,-0.0896261556601992,516,516,1721.4142619288245,-0.47694850643706876,0.014175250461187878,0.007087625230593939,0.007087625230593939,1.4771406708299653,7740,True
15,train,10,-32.80231915429562,-0.06357038595793724,516,516,2185.1947224934897,-0.4783062912350477,0.014524717334217514,0.007262254362590178,0.007262462971627337,1.708628047806348,8256,True
16,train,11,-6.674390318397345,-0.012934864958134389,516,516,2051.7530712748685,-0.48290425723837327,0.015253136694330231,0.007626485070502458,0.007626651623827773,2.2181029460688895,8772,True
17,train,12,-60.94263639223894,-0.11810588448108321,516,516,1841.7262672601744,-0.48628142637799876,0.01740672557286254,0.00870336278643127,0.00870336278643127,2.645243932572446,9288,True
18,train,13,-50.99554445883051,-0.09882857453261726,516,516,1680.936277995738,-0.48823145909826887,0.018704677915720398,0.009352224092937775,0.009352453820977736,3.4906019379002178,9804,True
19,train,14,-50.73665170403103,-0.09832684438765704,516,516,2195.867294074953,-0.49432713769434034,0.013139731127068458,0.0065696004425291,0.006570130684539358,3.529800987982935,10320,True
20,train,15,-50.673651730697244,-0.09820475141607993,516,516,1754.9533181597096,-0.49866404794445335,0.010766907140717286,0.005383453570358643,0.005383453570358643,2.751154760981715,10836,True
21,train,16,-51.20751178625919,-0.09923936392685889,516,516,1553.934423284013,-0.5007860177131587,0.011905066594986836,0.005952455112873035,0.005952611484369913,2.2335072510926297,11352,True
22,train,17,-49.03391611760915,-0.09502696922017277,516,516,1610.2096031839533,-0.49866159138984456,0.020625817442363373,0.010309977004351455,0.010315840438011918,2.062733518522839,11868,True
23,train,18,-55.80343083453664,-0.10814618378786171,516,516,1526.5775325686432,-0.48342979791783547,0.05839709355676359,0.029198546778381795,0.029198546778381795,3.646204026632531,12384,True
24,train,19,-55.4065415914226,-0.1073770185880283,516,516,2106.1255507358287,-0.49299115173576413,0.017882178720743793,0.008940704461537273,0.008941474258304076,4.238805055156234,12900,True
25,train,20,-53.30298218188859,-0.10330035306567556,516,516,2935.85702845847,-0.49424027073984,0.016065025805899975,0.008032512902949988,0.008032512902949988,3.724828282992045,13416,True
26,train,21,-51.64277518026688,-0.10008289763617613,516,516,2798.7262263926423,-0.4941032156925793,0.018279716244342832,0.009139858122171416,0.009139858122171416,3.4282588413519455,13932,True
27,train,22,-42.82436260942059,-0.08299295079345076,516,516,2887.461673884429,-0.4945875286709431,0.01807175833612767,0.009034245476657309,0.009037512859470362,2.9789239177408144,14448,True
28,train,23,-58.89259699233254,-0.1141329399076212,516,516,1598.3325685013172,-0.4943156305325124,0.01814891618781167,0.009074435633870722,0.009074480555745838,2.7438639781271763,14964,True
29,train,24,-36.08875190573555,-0.06993944167778207,516,516,1249.94278557356,-0.49451327370118725,0.021838466308346783,0.010919233154173391,0.010919233154173391,2.3918514223985894,15480,True
30,train,25,-28.649829200675,-0.05552292480750969,516,516,2429.3189246007637,-0.49409605031327686,0.01886690414128031,0.009433452070640155,0.009433452070640155,2.227970710096433,15996,True
31,train,26,-56.300406048370384,-0.10910931404722943,516,516,1577.7405640949576,-0.4918009761229966,0.02178433988705393,0.010892169943526965,0.010892169943526965,2.2570011153701666,16512,True
32,train,27,-62.29363621530612,-0.12072410119245372,516,516,5569.325679158055,-0.4892193766296372,0.021896518461853844,0.010948259230926922,0.010948259230926922,2.643578038197155,17028,True
33,train,28,8.699291182692786,0.016859091439327106,516,516,1747.2483644411545,-0.48939157872236977,0.020416235112650102,0.010208117556325051,0.010208117556325051,2.7482644578283146,17544,True
34,train,29,-68.25190251563393,-0.1322711289062673,516,516,2022.8327599458917,-0.4903284648592158,0.01868475833366257,0.00934221880968891,0.009342539523973657,2.4801449304403262,18060,True
