global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-75.67569520448357,-0.14665832403969684,516,516,55.44208426808202,-10.096916846497807,nan,nan,nan,nan,3096,True
6,train,1,-5.585347482582789,-0.010824316826710832,516,516,179.7579790603283,-25.34900705019633,nan,nan,nan,nan,3612,True
7,train,2,0.4743233970849242,0.0009192313896994656,516,516,367.64178481582525,-39.88499472492425,nan,nan,nan,nan,4128,True
8,train,3,8.231914669123517,0.015953323002177357,516,516,459.1533846004989,-52.186601102814194,nan,nan,nan,nan,4644,True
9,train,4,-9.452697207361199,-0.01831918063442093,516,516,566.5680697832921,-63.48467067600221,nan,nan,nan,nan,5160,True
10,train,5,-22.796906647548617,-0.04418005164253608,516,516,859.4899563752404,-73.37028753295425,nan,nan,nan,nan,5676,True
11,train,6,-40.60849470398098,-0.07869863314724997,516,516,2249.3265346556673,-92.8664594251056,nan,nan,nan,nan,6192,True
12,train,7,-43.68482093689824,-0.08466050569166325,516,516,2507.2129449179006,-115.2195821215016,nan,nan,nan,nan,6708,True
13,train,8,-38.18187320587276,-0.07399587830595497,516,516,2375.80122186232,-127.78015430953151,nan,nan,nan,nan,7224,True
14,train,9,-34.920136370581616,-0.06767468288872407,516,516,2321.062130477077,-133.31049278909845,nan,nan,nan,nan,7740,True
15,train,10,-32.9467686443422,-0.06385032683012054,516,516,2334.8837884710742,-137.63261122296947,nan,nan,nan,nan,8256,True
16,train,11,-80.1489621978265,-0.1553274461198188,516,516,1677.0028157788654,-135.87672699329465,nan,nan,nan,nan,8772,True
17,train,12,-80.2607858941288,-0.15554415870955193,516,516,1648.127553658892,-130.40083894064261,nan,nan,nan,nan,9288,True
18,train,13,-78.37461860330997,-0.15188879574284878,516,516,1499.748684787011,-128.0179764060087,nan,nan,nan,nan,9804,True
19,train,14,-33.734922298587364,-0.06537775639261117,516,516,1702.3485025805096,-127.19415232931921,nan,nan,nan,nan,10320,True
20,train,15,-70.90188031925075,-0.13740674480474951,516,516,1574.8159727347913,-120.76524135678314,nan,nan,nan,nan,10836,True
21,train,16,-70.47161081518979,-0.1365728891767244,516,516,1352.2256203584893,-110.52548143845196,nan,nan,nan,nan,11352,True
22,train,17,-73.45278908792751,-0.14235036644947194,516,516,2173.2965609528296,-99.82240191910618,nan,nan,nan,nan,11868,True
23,train,18,-72.45092293411872,-0.14040876537619906,516,516,1173.8237540075022,-92.84638342746469,nan,nan,nan,nan,12384,True
24,train,19,-72.4984412167941,-0.1405008550713064,516,516,1918.118221194245,-81.79657570151396,nan,nan,nan,nan,12900,True
25,train,20,-74.13666664753974,-0.14367571055724757,516,516,2160.948485440986,-74.61952244958212,nan,nan,nan,nan,13416,True
26,train,21,-70.4918822317966,-0.13661217486782284,516,516,1842.6135366277176,-67.06324513383613,nan,nan,nan,nan,13932,True
27,train,22,-71.22037749414632,-0.13802398739175642,516,516,1364.5814169358837,-60.06220529985058,nan,nan,nan,nan,14448,True
28,train,23,-71.46207970407136,-0.13849240252727008,516,516,2224.377940244453,-51.00470639753711,nan,nan,nan,nan,14964,True
29,train,24,-71.74454467665934,-0.13903981526484369,516,516,1181.6325342932412,-44.896585187246636,nan,nan,nan,nan,15480,True
30,train,25,-43.9697966707767,-0.08521278424569129,516,516,1100.0730106738188,-39.49913614664891,nan,nan,nan,nan,15996,True
31,train,26,-28.397981034343896,-0.055034846965782744,516,516,2267.1354199490806,-35.01102562283361,nan,nan,nan,nan,16512,True
32,train,27,-71.13985984142032,-0.13786794542910916,516,516,1462.1407980216566,-28.945452298304833,nan,nan,nan,nan,17028,True
33,train,28,-74.22509261967208,-0.14384707872029473,516,516,1369.2510573808538,-23.721701865972474,nan,nan,nan,nan,17544,True
34,train,29,-74.39275374427417,-0.1441720033803763,516,516,1494.0924390157063,-17.42068483270416,nan,nan,nan,nan,18060,True
35,train,30,-71.56127328247707,-0.1386846381443354,516,516,800.2347972485446,-13.132616922721382,nan,nan,nan,nan,18576,True
36,train,31,-70.68689061093454,-0.13699009808320647,516,516,744.9645328521729,-9.094807852839315,nan,nan,nan,nan,19092,True
37,train,32,-70.90630436634281,-0.13741531853942404,516,516,512.1302128725274,-5.9129297781244725,nan,nan,nan,nan,19608,True
38,train,33,-18.008213783672378,-0.03489963911564414,516,516,1529.2300989313644,-2.0300514679546504,nan,nan,nan,nan,20124,True
39,train,34,-73.76338718169683,-0.14295230073972254,516,516,574.5704096121382,0.9374838157217632,nan,nan,nan,nan,20640,True
40,train,35,-71.07444345311649,-0.1377411694827839,516,516,541.68894146764,3.267602290293967,nan,nan,nan,nan,21156,True
41,train,36,-70.95879974659051,-0.13751705377246223,516,516,352.5945429321407,5.340007518382036,nan,nan,nan,nan,21672,True
42,train,37,-70.29734864060688,-0.13623517178412187,516,516,235.83452533751495,6.723782798058765,nan,nan,nan,nan,22188,True
43,train,38,11.191824131882372,0.02168958165093483,516,516,297.7646898816722,7.266322620617327,nan,nan,nan,nan,22704,True
44,train,39,-67.99196648881428,-0.13176737691630674,516,516,365.6229438486025,10.538362282075623,nan,nan,nan,nan,23220,True
45,train,40,-68.19954503063438,-0.13216966091208213,516,516,106.40734466286592,12.356912211161251,nan,nan,nan,nan,23736,True
46,train,41,-68.42594116999433,-0.13260841312014404,516,516,99.84453417534051,12.75904266386069,nan,nan,nan,nan,24252,True
