global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-101.26532343031505,-0.19625062680293615,516,516,22.650503147079416,-0.6750543208543731,535.2187491518146,267.59487276814366,267.6238800298348,2.90581574920536,3096,True
6,train,1,-51.60000000000046,-0.1000000000000009,516,516,0.06494679461439075,-0.6948207205580187,0.00014659721029212033,7.365623300785407e-05,7.294097727749044e-05,2.9197980179343115,3612,True
7,train,2,-51.60000000000046,-0.1000000000000009,516,516,0.18582589753547885,-0.6948310229205346,1.7992899776014512e-05,9.354077756813382e-06,8.63882202018801e-06,2.91962390907051,4128,True
8,train,3,-51.60000000000046,-0.1000000000000009,516,516,0.16367658404922186,-0.6948131869236628,0.0006304829194069126,0.00031559908757226244,0.0003148838318351344,2.9194443272065747,4644,True
9,train,4,-51.60000000000046,-0.1000000000000009,516,516,0.30267111201501673,-0.6948390553394953,0.005421645519890863,0.0027111803878144265,0.0027104651320764626,2.919230264286662,5160,True
10,train,5,-51.60000000000046,-0.1000000000000009,516,516,0.012099946413618737,-0.6948291614305141,0.000615488429153277,0.00030810184244788307,0.0003073865867079793,2.9188811072083407,5676,True
11,train,6,-51.60000000000046,-0.1000000000000009,516,516,0.1748638817899032,-0.694836217072583,0.021146458768825867,0.010573587012282034,0.010572871756541312,2.9184940304867055,6192,True
12,train,7,-51.60000000000046,-0.1000000000000009,516,516,0.6093898362357372,-0.6948270950206491,0.0043306717875873195,0.002165693521662412,0.0021649782659269074,2.917996896329776,6708,True
13,train,8,-51.60000000000046,-0.1000000000000009,516,516,0.1017120999488041,-0.6948182020307512,0.021901414782855108,0.010951065019296265,0.010950349763558267,2.9173251408939214,7224,True
14,train,9,-51.60000000000046,-0.1000000000000009,516,516,0.025239907293093153,-0.6948261513959529,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.9165130465529687,7740,True
15,train,10,-51.60000000000046,-0.1000000000000009,516,516,0.2924922688982843,-0.6948319865289585,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.9152640289114427,8256,True
16,train,11,-51.60000000000046,-0.1000000000000009,516,516,0.14342912362235086,-0.6948162991871205,0.020424119175163215,0.010212417215453698,0.010211701959709753,2.9137275907420372,8772,True
17,train,12,-51.60000000000046,-0.1000000000000009,516,516,0.03509964530993354,-0.6948356012734331,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.9119571244069773,9288,True
18,train,13,-51.60000000000046,-0.1000000000000009,516,516,0.06043818608908228,-0.6948355059753093,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.9092536716498145,9804,True
19,train,14,-51.60000000000046,-0.1000000000000009,516,516,0.4674000464918547,-0.6948373504849368,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.9057607830956926,10320,True
20,train,15,-51.60000000000046,-0.1000000000000009,516,516,0.1556589499065407,-0.6948171949894854,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.9012511954751123,10836,True
21,train,16,-51.60000000000046,-0.1000000000000009,516,516,0.04564099259631232,-0.6948311082845511,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.89543347488078,11352,True
22,train,17,-51.60000000000046,-0.1000000000000009,516,516,0.17566065929059388,-0.6948208360708961,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.887936850388845,11868,True
23,train,18,-51.60000000000046,-0.1000000000000009,516,516,0.05706199274945268,-0.6948250706574713,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.8782905386399853,12384,True
24,train,19,-51.60000000000046,-0.1000000000000009,516,516,0.07104849217995611,-0.6948274055192637,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.865898427113082,12900,True
25,train,20,-51.60000000000046,-0.1000000000000009,516,516,0.3066592723624817,-0.6948338734318119,-7.152557373046875e-07,0.0,-7.152557373046875e-07,2.850014860777892,13416,True
26,train,21,-51.60000000000046,-0.1000000000000009,516,516,0.08131063990601764,-0.6948133862988893,24.369069672934323,12.184535175612972,12.184534493855962,2.922363832939503,13932,True
27,train,22,-51.60000000000046,-0.1000000000000009,516,516,0.06797185937071747,-0.694833826187045,-7.152557373046875e-07,0.0,-7.152557373046875e-07,3.158461859059888,14448,True
28,train,23,-51.60000000000046,-0.1000000000000009,516,516,0.06886423656729578,-0.6948233430468759,-7.152557373046875e-07,0.0,-7.152557373046875e-07,3.1563633495523025,14964,True
29,train,24,-51.60000000000046,-0.1000000000000009,516,516,0.1611599716386765,-0.6948414354823357,-7.152557373046875e-07,0.0,-7.152557373046875e-07,3.1536520506984504,15480,True
30,train,25,-51.60000000000046,-0.1000000000000009,516,516,0.08731814455006329,-0.6948221471420554,-7.152557373046875e-07,0.0,-7.152557373046875e-07,3.1501490519952404,15996,True
31,train,26,-51.60000000000046,-0.1000000000000009,516,516,0.1998147182870483,-0.6948345792154933,-7.152557373046875e-07,0.0,-7.152557373046875e-07,3.145626333332801,16512,True
32,train,27,-51.60000000000046,-0.1000000000000009,516,516,0.26635890225148867,-0.6948154835506927,-7.152557373046875e-07,0.0,-7.152557373046875e-07,3.139790660651155,17028,True
33,train,28,-51.60000000000046,-0.1000000000000009,516,516,0.06597274637829816,-0.6948223957257678,-7.152557373046875e-07,0.0,-7.152557373046875e-07,3.1322684519050656,17544,True
