global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-101.30082798099535,-0.1963194340716964,516,516,28.69237708173288,-0.8381524276125512,158.52345255550057,79.24975265095415,79.27369993203847,2.9446706781091616,3096,True
6,train,1,-51.60000000000046,-0.1000000000000009,516,516,0.9005648786014364,-0.8698207213897113,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9667808214823403,3612,True
7,train,2,-51.60000000000046,-0.1000000000000009,516,516,0.510105151264358,-0.86983101462671,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9662599475808844,4128,True
8,train,3,-51.60000000000046,-0.1000000000000009,516,516,0.23295476769147686,-0.8698131837124048,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9655163306598515,4644,True
9,train,4,-51.60000000000046,-0.1000000000000009,516,516,0.12383246608439458,-0.8698390644881152,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.964500286320383,5160,True
10,train,5,-51.60000000000046,-0.1000000000000009,516,516,0.1861376895049457,-0.8698291593743849,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9631498414416644,5676,True
11,train,6,-51.60000000000046,-0.1000000000000009,516,516,0.5147942374099421,-0.869836230841718,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.961373300515404,6192,True
12,train,7,-51.60000000000046,-0.1000000000000009,516,516,0.09092489088156311,-0.869827094697213,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.959055488885835,6708,True
13,train,8,-51.60000000000046,-0.1000000000000009,516,516,0.062297394367425825,-0.8698182011297507,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9560437424238337,7224,True
14,train,9,-51.60000000000046,-0.1000000000000009,516,516,0.12865959803479932,-0.8698261441417443,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9521416342535685,7740,True
15,train,10,-51.60000000000046,-0.1000000000000009,516,516,0.10817997436248517,-0.869831978119621,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9470956015956493,8256,True
16,train,11,-51.60000000000046,-0.1000000000000009,516,516,0.130462937661656,-0.8698162966689398,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.94058142937431,8772,True
17,train,12,-51.60000000000046,-0.1000000000000009,516,516,0.19426199235924513,-0.8698355959829434,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9321860144304677,9288,True
18,train,13,-51.60000000000046,-0.1000000000000009,516,516,0.6208196238961158,-0.8698354956022528,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.921384564665861,9804,True
19,train,14,-51.60000000000046,-0.1000000000000009,516,516,0.05155413630941897,-0.8698373433462409,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.9075172631315485,10320,True
20,train,15,-51.60000000000046,-0.1000000000000009,516,516,0.11589507826075117,-0.8698171912006629,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.889758580876875,10836,True
21,train,16,-51.60000000000046,-0.1000000000000009,516,516,0.15182374034694202,-0.8698311007993166,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.8670903508977372,11352,True
22,train,17,-51.60000000000046,-0.1000000000000009,516,516,0.23808304899888358,-0.8698208307804063,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.83827051497245,11868,True
23,train,18,-51.60000000000046,-0.1000000000000009,516,516,0.06320213875552827,-0.8698250616705695,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.801817318727804,12384,True
24,train,19,-51.60000000000046,-0.1000000000000009,516,516,0.10440015111591436,-0.8698273987271065,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.7560099160024363,12900,True
25,train,20,-51.60000000000046,-0.1000000000000009,516,516,0.07666567041874366,-0.8698338704515797,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.6989152228185374,13416,True
26,train,21,-51.60000000000046,-0.1000000000000009,516,516,0.08631741261884007,-0.8698133942923805,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.6284720685130867,13932,True
27,train,22,-51.60000000000046,-0.1000000000000009,516,516,0.1647579070589462,-0.8698338204345037,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.5426500079243683,14448,True
28,train,23,-51.60000000000046,-0.1000000000000009,516,516,0.14527992435456652,-0.8698233357926671,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.4396888710731686,14964,True
29,train,24,-51.60000000000046,-0.1000000000000009,516,516,0.06158968413049218,-0.8698414307694102,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.318433074064033,15480,True
30,train,25,-51.60000000000046,-0.1000000000000009,516,516,0.06870660848839771,-0.8698221418515656,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.1787234142769214,15996,True
31,train,26,-51.60000000000046,-0.1000000000000009,516,516,0.15613261699792028,-0.8698345726543619,-1.430511474609375e-06,0.0,-1.430511474609375e-06,2.021762726149818,16512,True
32,train,27,-51.60000000000046,-0.1000000000000009,516,516,0.22661108458180038,-0.8698154764119969,-1.430511474609375e-06,0.0,-1.430511474609375e-06,1.8503518555053444,17028,True
33,train,28,-51.60000000000046,-0.1000000000000009,516,516,0.08521423090967646,-0.8698223843130954,-1.430511474609375e-06,0.0,-1.430511474609375e-06,1.6688557017681211,17544,True
