global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-94.31616434888261,-0.18278326424202057,516,516,53.74164204542027,-9.7899492033288,nan,nan,nan,nan,3096,True
6,train,1,-52.078697688652326,-0.10092770869893862,516,516,163.49476788395134,-24.184880422991377,nan,nan,nan,nan,3612,True
7,train,2,-29.922603932352406,-0.05798954250455893,516,516,295.59542549488157,-32.78497433477594,nan,nan,nan,nan,4128,True
8,train,3,-92.79445131407479,-0.17983420797301317,516,516,341.14734095196394,-36.996584914451425,nan,nan,nan,nan,4644,True
9,train,4,-75.59445930932586,-0.14650089013435244,516,516,346.34262447209323,-43.05820675413738,nan,nan,nan,nan,5160,True
10,train,5,-64.69670020457217,-0.1253812019468453,516,516,456.02735829907795,-50.294823302779086,nan,nan,nan,nan,5676,True
11,train,6,25.41506695291891,0.04925400572271107,516,516,1234.9220506830734,-62.89545594814212,nan,nan,nan,nan,6192,True
12,train,7,-17.645592787771704,-0.03419688524761958,516,516,1857.1260481250379,-82.9975278987441,nan,nan,nan,nan,6708,True
13,train,8,-21.10754972331887,-0.04090610411495905,516,516,2322.695709465086,-103.86037298690441,nan,nan,nan,nan,7224,True
14,train,9,-27.32210340035057,-0.052949812791377074,516,516,2469.0345043803372,-115.09834839576898,nan,nan,nan,nan,7740,True
15,train,10,-41.33830316536593,-0.08011299063055413,516,516,2391.294880711755,-117.25566036017366,nan,nan,nan,nan,8256,True
16,train,11,-41.74618403776445,-0.08090345743752801,516,516,2238.146498332652,-117.89064070235851,nan,nan,nan,nan,8772,True
17,train,12,-87.40795053870296,-0.1693952529819825,516,516,2011.962355502816,-122.7890391830326,nan,nan,nan,nan,9288,True
18,train,13,-83.40182022935852,-0.1616314345530204,516,516,2172.799887723701,-130.73332084241764,nan,nan,nan,nan,9804,True
19,train,14,-82.0527402648831,-0.15901693849783546,516,516,1741.297958137453,-141.89382168673728,nan,nan,nan,nan,10320,True
20,train,15,-84.1219943895034,-0.1630271209098903,516,516,1501.5577478926311,-153.30284134916556,nan,nan,nan,nan,10836,True
21,train,16,-78.32559430833548,-0.1517937874192548,516,516,1381.6125462258508,-164.33445645117945,nan,nan,nan,nan,11352,True
22,train,17,-73.52526797755161,-0.1424908294138597,516,516,1098.2306303275648,-177.78259465121482,nan,nan,nan,nan,11868,True
23,train,18,-67.94949113823291,-0.13168506034541264,516,516,906.0169978178749,-187.49726817404576,nan,nan,nan,nan,12384,True
24,train,19,-72.57891190339211,-0.14065680601432579,516,516,786.9114464456721,-196.7501965604087,nan,nan,nan,nan,12900,True
25,train,20,-72.81594858004512,-0.1411161794186921,516,516,702.6221276808154,-205.23421152987223,nan,nan,nan,nan,13416,True
26,train,21,-63.61748582074116,-0.12328970120298674,516,516,673.2656891697137,-209.0598531619523,nan,nan,nan,nan,13932,True
27,train,22,-68.84255743200849,-0.13341580897676064,516,516,598.7939671361169,-209.03736954326777,nan,nan,nan,nan,14448,True
28,train,23,-50.74069327333701,-0.09833467688631203,516,516,525.547970793968,-203.994649044303,nan,nan,nan,nan,14964,True
29,train,24,-68.52852857550224,-0.13280722592151595,516,516,514.7655488539111,-195.0245099917863,nan,nan,nan,nan,15480,True
30,train,25,-38.79622726610136,-0.07518648694980884,516,516,561.0134165859962,-188.20854994308118,nan,nan,nan,nan,15996,True
31,train,26,7.980430390738633,0.015465950369648512,516,516,450.0804496883422,-185.32165846713752,nan,nan,nan,nan,16512,True
32,train,27,-77.90587499169945,-0.15098037789089042,516,516,366.92340525545814,-180.49520264854726,nan,nan,nan,nan,17028,True
33,train,28,-76.89995737499768,-0.14903092514534436,516,516,295.1803409960843,-177.01348533926085,nan,nan,nan,nan,17544,True
34,train,29,-27.65589852079369,-0.053596702559677696,516,516,258.5410350533419,-173.9203899590544,nan,nan,nan,nan,18060,True
35,train,30,-17.166296732374196,-0.03326801692320581,516,516,228.8729338978612,-172.58122652630473,nan,nan,nan,nan,18576,True
36,train,31,-61.72382086867557,-0.11961980788503017,516,516,213.0480861220249,-170.69705348051795,nan,nan,nan,nan,19092,True
37,train,32,-23.153766816925586,-0.04487164111807284,516,516,201.02796118388804,-169.6100398810335,nan,nan,nan,nan,19608,True
38,train,33,-1.3831073958214022,-0.002680440689576361,516,516,177.40173014559488,-167.65180473919062,nan,nan,nan,nan,20124,True
39,train,34,-4.322587198432942,-0.00837710697370725,516,516,170.8249830940897,-165.70881930802219,nan,nan,nan,nan,20640,True
40,train,35,-11.142850579984177,-0.021594671666636003,516,516,156.14871444997863,-161.90517580786417,nan,nan,nan,nan,21156,True
41,train,36,7.976137830126202,0.01545763145373295,516,516,132.83981839261313,-159.58584433562996,nan,nan,nan,nan,21672,True
42,train,37,-6.330478523437175,-0.012268369231467393,516,516,117.62572113303251,-155.70623085849968,nan,nan,nan,nan,22188,True
43,train,38,-11.95335987148176,-0.023165426107522792,516,516,108.69835531249527,-152.8063960555912,nan,nan,nan,nan,22704,True
44,train,39,1.4775111407036294,0.0028633936835341656,516,516,98.42326192338338,-149.41961851785348,nan,nan,nan,nan,23220,True
45,train,40,-42.340253424681414,-0.082054754698995,516,516,87.26663880015529,-144.92946913076003,nan,nan,nan,nan,23736,True
46,train,41,-37.33155120376928,-0.07234796744916527,516,516,84.79592265639194,-141.59870030898458,nan,nan,nan,nan,24252,True
