global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-76.12245926774057,-0.14752414586771428,516,516,55.1662309544031,-10.038421782484466,nan,nan,nan,nan,3096,True
6,train,1,-35.76249908084891,-0.0693071687613351,516,516,170.8389250585275,-25.985590725906135,nan,nan,nan,nan,3612,True
7,train,2,12.001740609906696,0.023259187228501347,516,516,381.10041684882583,-41.73911855756774,nan,nan,nan,nan,4128,True
8,train,3,-33.70054348457318,-0.06531113078405655,516,516,517.2384962628978,-56.65425160873768,nan,nan,nan,nan,4644,True
9,train,4,-22.159680161456006,-0.042945116591969,516,516,713.2333759337432,-72.74157525587452,nan,nan,nan,nan,5160,True
10,train,5,0.7125881926794748,0.001380984869533866,516,516,1201.4753710133161,-91.08395385002905,nan,nan,nan,nan,5676,True
11,train,6,58.946693546146776,0.11423777819020693,516,516,1796.993679549343,-114.29728815537091,nan,nan,nan,nan,6192,True
12,train,7,-43.468600892178756,-0.08424147459724565,516,516,5568.0082220033155,-148.44372676878936,nan,nan,nan,nan,6708,True
13,train,8,-44.57286327867557,-0.0863815179819294,516,516,6282.048125510992,-201.33728658690933,nan,nan,nan,nan,7224,True
14,train,9,-45.128190002555066,-0.08745773256309121,516,516,6832.9208572742555,-230.91103768163873,nan,nan,nan,nan,7740,True
15,train,10,-44.460817261419116,-0.08616437453763394,516,516,5800.582914130632,-245.67969663753067,nan,nan,nan,nan,8256,True
16,train,11,-44.63219627210867,-0.08649650440331139,516,516,5595.680698128634,-256.0367554065793,nan,nan,nan,nan,8772,True
17,train,12,-39.06266602046372,-0.0757028411249297,516,516,5528.412886272105,-266.206040729848,nan,nan,nan,nan,9288,True
18,train,13,-41.90576726525058,-0.08121272725823755,516,516,5125.064527408097,-265.92871661518893,nan,nan,nan,nan,9804,True
19,train,14,-39.93523251944127,-0.07739386147178541,516,516,4768.48935315036,-263.99631092160246,nan,nan,nan,nan,10320,True
20,train,15,-43.03922277427104,-0.08340934646176558,516,516,4528.192365779433,-260.9938078887703,nan,nan,nan,nan,10836,True
21,train,16,-39.0470731457324,-0.07567262237545039,516,516,5615.313067532325,-257.2270305840544,nan,nan,nan,nan,11352,True
22,train,17,-42.82480683703496,-0.08299381169968016,516,516,5404.08010982543,-251.64094617385274,nan,nan,nan,nan,11868,True
23,train,18,-40.376303858569884,-0.07824865088870132,516,516,8310.770390000454,-243.25691036845362,nan,nan,nan,nan,12384,True
24,train,19,-77.01035572513013,-0.1492448754362987,516,516,5949.894697795543,-225.06666488056035,nan,nan,nan,nan,12900,True
25,train,20,-24.123791128071325,-0.04675153319393668,516,516,4361.820727444434,-213.41856532133826,nan,nan,nan,nan,13416,True
26,train,21,-78.13263853837807,-0.15141984212863968,516,516,3890.6855416704516,-200.68156983131587,nan,nan,nan,nan,13932,True
27,train,22,-77.83282719857613,-0.15083881240034133,516,516,3269.4030943877938,-185.96413165839144,nan,nan,nan,nan,14448,True
28,train,23,-79.82448437346781,-0.1546986131268756,516,516,3104.0857106290123,-174.21178959691247,nan,nan,nan,nan,14964,True
29,train,24,-83.32282051436282,-0.1614783343301605,516,516,3235.558602857959,-160.0360915901125,nan,nan,nan,nan,15480,True
30,train,25,-81.59338818553537,-0.15812672128979724,516,516,2704.378061812053,-146.7783670795056,nan,nan,nan,nan,15996,True
31,train,26,-81.91957675522673,-0.15875886968067196,516,516,2815.78431607032,-134.4029294095298,nan,nan,nan,nan,16512,True
32,train,27,-77.86884831178195,-0.15090862075926734,516,516,2702.163258870443,-121.78032428534456,nan,nan,nan,nan,17028,True
33,train,28,-82.25632008610465,-0.15941147303508654,516,516,2634.510340845862,-111.66606621409572,nan,nan,nan,nan,17544,True
34,train,29,-78.92726466516379,-0.1529598152425655,516,516,2366.235532302265,-103.59265210646991,nan,nan,nan,nan,18060,True
35,train,30,-77.5173114682391,-0.1502273478066649,516,516,2505.825559867445,-95.83506812605746,nan,nan,nan,nan,18576,True
36,train,31,-79.30900900819901,-0.1536996298608508,516,516,1725.3624876746835,-87.90194958679436,nan,nan,nan,nan,19092,True
37,train,32,-75.31233300138936,-0.1459541337236228,516,516,1854.6863786564318,-81.01499360106712,nan,nan,nan,nan,19608,True
38,train,33,-4.698022664169296,-0.009104695085599412,516,516,1621.8347385022066,-75.81461351971294,nan,nan,nan,nan,20124,True
39,train,34,36.21548901397986,0.07018505622864314,516,516,1538.6232665305913,-69.97964833133905,nan,nan,nan,nan,20640,True
40,train,35,-27.57972796681351,-0.05344908520700293,516,516,1093.743921205979,-67.09282481393149,nan,nan,nan,nan,21156,True
41,train,36,-43.75505131657656,-0.08479661107863674,516,516,667.2534323995427,-64.13380245829738,nan,nan,nan,nan,21672,True
42,train,37,-14.437610323276306,-0.02797986496758974,516,516,924.2705118637676,-58.97811293047528,nan,nan,nan,nan,22188,True
43,train,38,-57.503031965143656,-0.11143998442857297,516,516,768.501576800679,-55.46987750548725,nan,nan,nan,nan,22704,True
44,train,39,-67.10331416071774,-0.13004518248201113,516,516,573.3666754729988,-53.25991076462029,nan,nan,nan,nan,23220,True
45,train,40,-33.21767051189205,-0.0643753304494032,516,516,431.987115919128,-49.930415759715,nan,nan,nan,nan,23736,True
46,train,41,-34.664671641010514,-0.06717959620350875,516,516,447.70217499252436,-48.02065097084341,nan,nan,nan,nan,24252,True
