global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-100.5403800970771,-0.19484569786255254,516,516,52.98500466831895,-0.7840782242408383,111254.36632457445,55626.89492506499,55627.47127370768,4.29033837484759,3096,True
6,train,1,-51.60000000000046,-0.1000000000000009,516,516,3.077938030047934,-0.8698118107263432,160459.61200944768,80229.80515685563,80229.80688287306,9.507313680279163,3612,True
7,train,2,-51.60000000000046,-0.1000000000000009,516,516,2.28909133132114,-0.8698299660008083,175700.76695736434,87850.38334241764,87850.3835998062,23.065512679344,4128,True
8,train,3,-51.60000000000046,-0.1000000000000009,516,516,1.8573303320842196,-0.8698261910399725,191647.01541303293,95823.50767623546,95823.50775193798,63.50291464310284,4644,True
9,train,4,-51.60000000000046,-0.1000000000000009,516,516,1.2200061907601911,-0.8698348078385804,202062.7683200097,101031.38416000485,101031.38416000485,189.53139331728914,5160,True
10,train,5,-51.60000000000046,-0.1000000000000009,516,516,0.8798642768416294,-0.8698030309390652,211128.63735465117,105564.31863190407,105564.3187530281,593.6687452922496,5676,True
11,train,6,-51.60000000000046,-0.1000000000000009,516,516,0.6414616923461589,-0.869845158600992,219880.72035489342,109940.3601623062,109940.3601925872,1912.9554671649785,6192,True
12,train,7,-51.60000000000046,-0.1000000000000009,516,516,0.5534354541306348,-0.8698165691638178,225267.65231346898,112633.82615673449,112633.826171875,6250.488589737766,6708,True
13,train,8,-51.60000000000046,-0.1000000000000009,516,516,0.4694305396126222,-0.8698507130377052,233786.1027737403,116893.05137172966,116893.05138687015,20660.27088253997,7224,True
14,train,9,-51.60000000000046,-0.1000000000000009,516,516,0.35497710471178673,-0.869835022230481,246977.39144258722,123488.69572129361,123488.69572129361,69640.12471233042,7740,True
15,train,10,-51.60000000000046,-0.1000000000000009,516,516,0.33916969621886117,-0.8698346768469774,254223.28261264536,127111.64130632268,127111.64130632268,234227.73160428778,8256,True
16,train,11,-51.60000000000046,-0.1000000000000009,516,516,0.25517720506750335,-0.8698374351789785,257054.69500968992,128527.34750484496,128527.34750484496,780215.9213905039,8772,True
17,train,12,-51.60000000000046,-0.1000000000000009,516,516,0.22243820755316537,-0.8698328867439151,268059.42293483525,134029.71143713663,134029.71149769865,2610526.3544089147,9288,True
18,train,13,-51.60000000000046,-0.1000000000000009,516,516,0.2152798662120982,-0.8698288620442383,287229.1882267442,143614.5941133721,143614.5941133721,8960538.393410852,9804,True
19,train,14,-51.60000000000046,-0.1000000000000009,516,516,0.174481128320791,-0.8698110479948132,294621.67759811046,147310.83879905523,147310.83879905523,30285141.100775193,10320,True
20,train,15,-51.60000000000046,-0.1000000000000009,516,516,0.13996909114770417,-0.8698245062846546,293727.99978803296,146863.99989401648,146863.99989401648,100693906.2015504,10836,True
21,train,16,-51.60000000000046,-0.1000000000000009,516,516,0.19968998470423063,-0.8698259007561114,313782.4551538275,156891.22757691375,156891.22757691375,339721725.79844964,11352,True
22,train,17,-51.60000000000046,-0.1000000000000009,516,516,0.11184773642512023,-0.8698415659194769,325227.28427810076,162613.64213905038,162613.64213905038,1159826401.860465,11868,True
23,train,18,-51.60000000000046,-0.1000000000000009,516,516,0.1316810931447287,-0.8698375504608302,340973.75451187015,170486.87725593508,170486.87725593508,3917578755.2248063,12384,True
24,train,19,-51.60000000000046,-0.1000000000000009,516,516,0.17052248826741365,-0.8698205117338388,366948.6411094961,183474.32055474806,183474.32055474806,13459516357.457365,12900,True
25,train,20,-51.60000000000046,-0.1000000000000009,516,516,0.13153784724255635,-0.8698215772246205,379515.6939195736,189757.8469597868,189757.8469597868,45968963135.503876,13416,True
26,train,21,-51.60000000000046,-0.1000000000000009,516,516,0.10896861911643037,-0.8698350627755009,378877.3263687015,189438.66318435076,189438.66318435076,152709836863.50388,13932,True
27,eval,0,-51.60000000000046,-0.1000000000000009,516,0,nan,nan,nan,nan,nan,nan,0,False
28,eval,1,-51.60000000000046,-0.1000000000000009,516,0,nan,nan,nan,nan,nan,nan,0,False
