global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-72.10836002989677,-0.1397448837788697,516,516,60.92760946353277,-10.983668888072563,nan,nan,nan,nan,3096,True
6,train,1,-75.94107043733743,-0.14717261712662294,516,516,130.41953151540238,-32.50368172623391,nan,nan,nan,nan,3612,True
7,train,2,-76.63678775021752,-0.1485209064926696,516,516,450.79610363272735,-51.61139076439909,nan,nan,nan,nan,4128,True
8,train,3,-78.0744522963086,-0.15130707809362134,516,516,794.5381764256676,-68.64376793351285,nan,nan,nan,nan,4644,True
9,train,4,-80.43978510370951,-0.1558910564025378,516,516,1167.7989493081736,-83.13147857577302,nan,nan,nan,nan,5160,True
10,train,5,-82.13025772990285,-0.15916716614322257,516,516,1414.942406646965,-94.12754877962807,nan,nan,nan,nan,5676,True
11,train,6,-84.55218869272251,-0.16386083079984984,516,516,1528.764375198719,-101.03597266914309,nan,nan,nan,nan,6192,True
12,train,7,-84.01355026432391,-0.16281695787659672,516,516,1497.2010657731878,-103.45201656430267,nan,nan,nan,nan,6708,True
13,train,8,-79.85178483913948,-0.15475152100608427,516,516,1335.3684867444888,-105.1704860214115,nan,nan,nan,nan,7224,True
14,train,9,-75.89419857102189,-0.147081780176399,516,516,1126.097598526829,-104.05793811738953,nan,nan,nan,nan,7740,True
15,train,10,-75.72443088545523,-0.14675277303382797,516,516,979.3129800604295,-100.55661965155787,nan,nan,nan,nan,8256,True
16,train,11,-71.32418739990378,-0.13822516937965848,516,516,821.7634534022604,-94.83883981926496,nan,nan,nan,nan,8772,True
17,train,12,-74.66906657271801,-0.14470749335798064,516,516,711.7721909515617,-90.06292895383613,nan,nan,nan,nan,9288,True
18,train,13,-75.4655018272877,-0.14625097253350328,516,516,629.1465749814529,-87.49386130192484,nan,nan,nan,nan,9804,True
19,train,14,-66.90927815978901,-0.12966914372052135,516,516,538.1781663820725,-84.24812491734822,nan,nan,nan,nan,10320,True
20,train,15,-32.00279122922859,-0.062020913234939135,516,516,569.7413810611695,-86.83007382607275,nan,nan,nan,nan,10836,True
21,train,16,5.332035430460374,0.010333401997016229,516,516,562.7548229306243,-91.87896811315255,nan,nan,nan,nan,11352,True
22,train,17,-71.10122139573787,-0.13779306472042221,516,516,631.0189297106839,-98.85898629269859,nan,nan,nan,nan,11868,True
23,train,18,-63.75203839895663,-0.12355046201348184,516,516,687.5530659579491,-110.88944047735643,nan,nan,nan,nan,12384,True
24,train,19,-27.00022223952714,-0.05232601209210686,516,516,620.6136197822038,-117.49242418126542,nan,nan,nan,nan,12900,True
25,train,20,-38.186162308459025,-0.07400419052026942,516,516,617.6888880175213,-126.25161513986514,nan,nan,nan,nan,13416,True
26,train,21,-26.131477893426734,-0.05064239901826886,516,516,627.9549720231877,-130.76347040575604,nan,nan,nan,nan,13932,True
27,train,22,-36.187137312474825,-0.07013011107068765,516,516,568.3051430753959,-132.805585905563,nan,nan,nan,nan,14448,True
28,train,23,-37.62386976911722,-0.0729144762967388,516,516,517.432064706965,-131.08302811319513,nan,nan,nan,nan,14964,True
29,train,24,-47.125637158372086,-0.09132875418289164,516,516,522.0674714968186,-132.82783842456433,nan,nan,nan,nan,15480,True
30,train,25,-18.754834427200073,-0.03634657834728696,516,516,482.68387343532356,-129.72790617536205,nan,nan,nan,nan,15996,True
31,train,26,-22.98006656934919,-0.04453501273129688,516,516,474.696674465209,-127.5994970336441,nan,nan,nan,nan,16512,True
32,train,27,-41.21216326118862,-0.07986853345191593,516,516,455.9744002467902,-125.64493547483931,nan,nan,nan,nan,17028,True
33,train,28,-24.271164912138907,-0.04703714130259478,516,516,471.62275604129763,-122.74518178599749,nan,nan,nan,nan,17544,True
34,train,29,-27.869811063318195,-0.05401126175061666,516,516,451.383722172227,-120.27544982673587,nan,nan,nan,nan,18060,True
35,train,30,-56.15219227022736,-0.10882207804307628,516,516,448.0376232945642,-117.42085025107214,nan,nan,nan,nan,18576,True
36,train,31,-14.38111783678177,-0.027870383404615836,516,516,463.7589083826819,-115.67577388674714,nan,nan,nan,nan,19092,True
37,train,32,-55.24264052925142,-0.10705938087064228,516,516,461.0376882922742,-112.63827789661497,nan,nan,nan,nan,19608,True
38,train,33,-28.759713475476012,-0.05573587882844189,516,516,539.9731837723606,-109.31591051678325,nan,nan,nan,nan,20124,True
39,train,34,-22.741390641182537,-0.04407246248291189,516,516,460.2027325001798,-106.03863625933033,nan,nan,nan,nan,20640,True
40,train,35,-10.4715729733032,-0.020293746072293024,516,516,428.1348871334579,-102.13455343616101,nan,nan,nan,nan,21156,True
41,train,36,-44.82215512988828,-0.08686464172458969,516,516,397.02225248943006,-98.04860877990723,nan,nan,nan,nan,21672,True
42,eval,0,-10.805769100907375,-0.020941412986254602,516,0,nan,nan,nan,nan,nan,nan,0,False
43,eval,1,-33.53376780867106,-0.06498792210982764,516,0,nan,nan,nan,nan,nan,nan,0,False
