global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-73.11073071273118,-0.14168746262157206,516,516,51.23855514939903,-11.592309933646705,nan,nan,nan,nan,3096,True
6,train,1,-0.4777920596665448,-0.0009259536040049318,516,516,52.62868458356044,-18.077737656674643,nan,nan,nan,nan,3612,True
7,train,2,-70.96884141406507,-0.13753651436834316,516,516,79.94424108017323,-26.562683318012443,nan,nan,nan,nan,4128,True
8,train,3,-33.272570936902625,-0.06448172662190431,516,516,182.75680085115656,-34.95508599466132,nan,nan,nan,nan,4644,True
9,train,4,-68.02173212456697,-0.13182506225691273,516,516,408.35143466328464,-48.21330522566803,nan,nan,nan,nan,5160,True
10,train,5,-70.3666941835884,-0.13636956237129533,516,516,510.9886017141416,-57.30185854712198,nan,nan,nan,nan,5676,True
11,train,6,-43.74812222588189,-0.08478318260829824,516,516,773.9652056730995,-68.9230129293693,nan,nan,nan,nan,6192,True
12,train,7,-60.22960495328743,-0.11672404060714618,516,516,513.0494494770849,-80.04929702965788,nan,nan,nan,nan,6708,True
13,train,8,-72.3076573238894,-0.1401311188447469,516,516,878.1079769873804,-88.73062422848487,nan,nan,nan,nan,7224,True
14,train,9,-60.35865725979599,-0.11697414197634881,516,516,665.8893008269081,-93.88612190512724,nan,nan,nan,nan,7740,True
15,train,10,-71.59510303479948,-0.13875019967984395,516,516,794.7011151276818,-93.79213237023168,nan,nan,nan,nan,8256,True
16,train,11,-75.18367813508965,-0.14570480258738305,516,516,1314.5805116402087,-95.5263103292894,nan,nan,nan,nan,8772,True
17,train,12,-59.460706235131056,-0.11523392681226949,516,516,811.0311535975729,-99.88569304739782,nan,nan,nan,nan,9288,True
18,train,13,-20.320764188854273,-0.039381325947392,516,516,1277.6918944129648,-103.72129592599795,nan,nan,nan,nan,9804,True
19,train,14,-0.297479109372276,-0.0005765099018842559,516,516,1245.1832011614658,-109.56662260839181,nan,nan,nan,nan,10320,True
20,train,15,-36.26605823535785,-0.07028305859565476,516,516,1494.125800199287,-109.86385555415191,nan,nan,nan,nan,10836,True
21,train,16,-42.811190525080036,-0.08296742349821712,516,516,709.2193928504175,-108.98480875177901,nan,nan,nan,nan,11352,True
22,train,17,-71.23825473284097,-0.13805863320318018,516,516,836.6301533011502,-103.91424743888913,nan,nan,nan,nan,11868,True
23,train,18,-74.17467685205331,-0.14374937374428937,516,516,631.4472993067069,-99.37163469033648,nan,nan,nan,nan,12384,True
24,train,19,-71.79771768933301,-0.13914286373901746,516,516,1276.794423036797,-91.63070544161538,nan,nan,nan,nan,12900,True
25,train,20,-47.929926691367335,-0.09288745482823127,516,516,982.7523442941118,-90.68764379042987,nan,nan,nan,nan,13416,True
26,train,21,-70.80357139738437,-0.13721622363834182,516,516,1126.9703607189563,-86.96135438874711,nan,nan,nan,nan,13932,True
27,train,22,-71.56703510677816,-0.1386958044705003,516,516,1008.6742767215699,-83.21013807695965,nan,nan,nan,nan,14448,True
28,train,23,-51.74021017736302,-0.10027172514992833,516,516,927.1790369610454,-80.76163192128026,nan,nan,nan,nan,14964,True
29,train,24,-12.895296438480218,-0.024990884570698094,516,516,1054.1511587690013,-80.6413758447928,nan,nan,nan,nan,15480,True
30,train,25,-55.89544821262165,-0.10832451203996445,516,516,441.9433400058007,-81.31326265113299,nan,nan,nan,nan,15996,True
31,train,26,9.076122350910795,0.017589384400989914,516,516,737.3182395816773,-79.21584552203038,nan,nan,nan,nan,16512,True
32,train,27,-27.674156506987742,-0.05363208625385221,516,516,1262.6510126276535,-79.31397507541864,nan,nan,nan,nan,17028,True
33,train,28,-6.1378702320072325,-0.011895097348851226,516,516,530.2852249145508,-82.10459017199139,nan,nan,nan,nan,17544,True
34,train,29,-39.928825358788025,-0.07738144449377524,516,516,1510.8229161343834,-80.4978695950767,nan,nan,nan,nan,18060,True
35,train,30,-69.62297220152655,-0.13492824070063286,516,516,475.970909133438,-79.05875241479208,nan,nan,nan,nan,18576,True
36,train,31,-70.71497911409888,-0.1370445331668583,516,516,734.8050456971162,-75.92983237717503,nan,nan,nan,nan,19092,True
37,train,32,-47.80159418545729,-0.09263874842142886,516,516,819.2044879410618,-72.46139683095059,nan,nan,nan,nan,19608,True
38,train,33,-51.389807464286925,-0.09959265012458707,516,516,1614.18996637921,-67.05457368747209,nan,nan,nan,nan,20124,True
39,train,34,-70.09087505927889,-0.13583502918464901,516,516,963.443919677143,-64.14291091667589,nan,nan,nan,nan,20640,True
40,train,35,-69.38140984779244,-0.1344600966042489,516,516,927.2340190207311,-61.91765311706898,nan,nan,nan,nan,21156,True
41,train,36,-24.960535757669764,-0.04837313131331349,516,516,585.8297792996547,-60.69600732566774,nan,nan,nan,nan,21672,True
42,train,37,-2.0705854617654116,-0.004012762522801186,516,516,1558.8171023583227,-58.14429884917976,nan,nan,nan,nan,22188,True
43,train,38,-69.44145614495329,-0.1345764653971963,516,516,727.8218770877336,-57.39401638785074,nan,nan,nan,nan,22704,True
44,train,39,-30.83277725652461,-0.05975344429559033,516,516,1130.9148217837017,-55.81118370026581,nan,nan,nan,nan,23220,True
45,train,40,-32.13741551695171,-0.06228181301734828,516,516,1880.6008065541585,-53.9622967372569,nan,nan,nan,nan,23736,True
46,train,41,10.29287017565626,0.019947422821039264,516,516,1370.079827892688,-53.252913038859994,nan,nan,nan,nan,24252,True
