global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-73.22747783546504,-0.14191371673539735,516,516,51.80123893985915,-11.905144704635752,nan,nan,nan,nan,3096,True
6,train,1,-16.885445994286883,-0.032723732547067605,516,516,85.00540800612102,-21.206568300261978,nan,nan,nan,nan,3612,True
7,train,2,-58.818038569056654,-0.11398844683925709,516,516,150.3301934604497,-28.780351348625597,nan,nan,nan,nan,4128,True
8,train,3,-72.24287887839228,-0.14000557922169046,516,516,249.01017322466356,-41.46637749487115,nan,nan,nan,nan,4644,True
9,train,4,-38.91226398265435,-0.07541136430746967,516,516,707.485900553622,-59.74525406194288,nan,nan,nan,nan,5160,True
10,train,5,-71.10234120927386,-0.13779523490169351,516,516,752.1962417484253,-76.29255616018014,nan,nan,nan,nan,5676,True
11,train,6,-53.38486658189378,-0.10345904376336004,516,516,669.0095103064249,-93.54893231207086,nan,nan,nan,nan,6192,True
12,train,7,-80.985293098302,-0.15694824243856975,516,516,2385.8745555434116,-109.95035569982011,nan,nan,nan,nan,6708,True
13,train,8,-56.47402288175846,-0.10944578077860166,516,516,3376.941004967505,-127.28562380177107,nan,nan,nan,nan,7224,True
14,train,9,-33.343810342981534,-0.06461978748639832,516,516,1932.8097724618838,-129.98634343553883,nan,nan,nan,nan,7740,True
15,train,10,-16.61209976931964,-0.03219399180100706,516,516,1320.3294879410619,-134.49740987969923,nan,nan,nan,nan,8256,True
16,train,11,-75.73203041633097,-0.14676750080684298,516,516,1317.8863870191944,-138.6235403312269,nan,nan,nan,nan,8772,True
17,train,12,-75.09774084537565,-0.14553825745227839,516,516,1472.5562685589457,-144.31437427313753,nan,nan,nan,nan,9288,True
18,train,13,-58.73460548182839,-0.11382675480974494,516,516,1486.4643526890482,-155.72102452063746,nan,nan,nan,nan,9804,True
19,train,14,-67.0946247923757,-0.13002834262088314,516,516,1147.251011160917,-164.57168885164484,nan,nan,nan,nan,10320,True
20,train,15,-73.13007415153112,-0.14172494990606807,516,516,1245.4613522670065,-166.52391293252163,nan,nan,nan,nan,10836,True
21,train,16,-20.74985201494749,-0.04021289150183622,516,516,2499.848985420641,-175.1910925872566,nan,nan,nan,nan,11352,True
22,train,17,-37.44959850583267,-0.07257674129037339,516,516,1605.8323594913927,-184.40137500910797,nan,nan,nan,nan,11868,True
23,train,18,-29.609809517405203,-0.05738335177791706,516,516,1551.6548006516095,-185.43512381324473,nan,nan,nan,nan,12384,True
24,train,19,-34.524014246619,-0.06690700435391278,516,516,1677.6283786389254,-181.61968158751495,nan,nan,nan,nan,12900,True
25,train,20,-55.02895572558606,-0.1066452630340815,516,516,1516.8342648291773,-184.88965142420096,nan,nan,nan,nan,13416,True
26,train,21,-62.99658916041886,-0.12208641310158694,516,516,1736.1208383722824,-177.5238972893057,nan,nan,nan,nan,13932,True
27,train,22,7.0612373321292035,0.013684568473118611,516,516,2665.153296300607,-173.78852622453556,nan,nan,nan,nan,14448,True
28,train,23,-26.804484376981048,-0.051946675149188076,516,516,2481.430186545202,-178.87270968829014,nan,nan,nan,nan,14964,True
29,train,24,-70.12636971667092,-0.13590381728037002,516,516,1558.9062116755995,-182.236425074496,nan,nan,nan,nan,15480,True
30,train,25,-4.774255603303381,-0.009252433339735234,516,516,2574.4651020848473,-183.46323570724604,nan,nan,nan,nan,15996,True
31,train,26,-38.55817762122443,-0.07472515042872951,516,516,2634.4637286755465,-186.293677248696,nan,nan,nan,nan,16512,True
32,train,27,41.210560498293155,0.07986542732227356,516,516,2782.3794587601064,-183.1334024325822,nan,nan,nan,nan,17028,True
33,train,28,10.923303405805425,0.02116919264690974,516,516,2142.397391977236,-184.8135801507521,nan,nan,nan,nan,17544,True
34,train,29,-31.806642787164726,-0.06164078059528048,516,516,2714.340831313022,-183.8242973948634,nan,nan,nan,nan,18060,True
35,train,30,-69.37131033763869,-0.1344405239101525,516,516,2369.278919072114,-178.0472641286924,nan,nan,nan,nan,18576,True
36,train,31,57.836336441806075,0.11208592333683348,516,516,2196.4156466935033,-174.26376728678858,nan,nan,nan,nan,19092,True
37,train,32,1.234475965680518,0.002392395282326585,516,516,4090.5513174367507,-175.92170762646106,nan,nan,nan,nan,19608,True
38,train,33,-40.787997911196086,-0.07904650757983737,516,516,2200.0713162680927,-178.43952757073927,nan,nan,nan,nan,20124,True
39,train,34,24.280321059865216,0.04705488577493259,516,516,2549.372075280478,-178.83651289828987,nan,nan,nan,nan,20640,True
40,train,35,33.97433781447332,0.06584173995052969,516,516,2339.8428239452746,-180.41485116648118,nan,nan,nan,nan,21156,True
41,train,36,24.064819902457707,0.04663724787298005,516,516,2594.6355179187863,-187.04213015238443,nan,nan,nan,nan,21672,True
42,train,37,103.43079656991534,0.20044728017425453,516,516,2682.994515825612,-187.93555307018664,nan,nan,nan,nan,22188,True
43,train,38,128.92412440622354,0.249852954275627,516,516,3315.0823264898254,-193.5848814942116,nan,nan,nan,nan,22704,True
44,train,39,36.300033905202355,0.07034890291705882,516,516,2137.96861066005,-199.6082184074461,nan,nan,nan,nan,23220,True
45,train,40,-19.024547867615475,-0.036869278813208284,516,516,4027.842073898907,-195.20466112536053,nan,nan,nan,nan,23736,True
46,train,41,-12.900587772212514,-0.025001139093435105,516,516,1813.6083404777587,-193.8320064988247,nan,nan,nan,nan,24252,True
