global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-74.16937226599059,-0.14373909353874145,516,516,54.72703282454217,-10.748029008276703,nan,nan,nan,nan,3096,True
6,train,1,-25.5494013714096,-0.049514343743041866,516,516,124.90623387625051,-25.024509511252706,nan,nan,nan,nan,3612,True
7,train,2,-36.96653368150605,-0.07164056915020553,516,516,189.87389358993647,-34.80570334057475,nan,nan,nan,nan,4128,True
8,train,3,-16.551491715804925,-0.03207653433295528,516,516,260.49916916484983,-39.11854083778322,nan,nan,nan,nan,4644,True
9,train,4,-28.80786559130261,-0.0558291968823694,516,516,943.8597615855609,-48.03356624204059,nan,nan,nan,nan,5160,True
10,train,5,-49.55697726945899,-0.09604065362298254,516,516,765.4714438859806,-60.29379503856334,nan,nan,nan,nan,5676,True
11,train,6,-30.266207962247496,-0.058655441787301345,516,516,645.3206451475158,-67.62859416932099,nan,nan,nan,nan,6192,True
12,train,7,-27.650165178777744,-0.05358559143173981,516,516,527.3229312157446,-74.58378345282503,nan,nan,nan,nan,6708,True
13,train,8,-32.50466022920202,-0.0629935275759729,516,516,440.924206046171,-79.64066036727077,nan,nan,nan,nan,7224,True
14,train,9,-62.80700006477051,-0.12171899237358627,516,516,655.6705900088762,-81.0081732624261,nan,nan,nan,nan,7740,True
15,train,10,-54.20488794393503,-0.10504823244948648,516,516,440.44002807972043,-81.02564040634984,nan,nan,nan,nan,8256,True
16,train,11,-68.89446615220322,-0.13351640727171166,516,516,344.30689218802047,-78.94291295192038,nan,nan,nan,nan,8772,True
17,train,12,-71.86291389160733,-0.13926921296823128,516,516,273.40229303522625,-73.80688610372617,nan,nan,nan,nan,9288,True
18,train,13,-70.38140969290906,-0.13639808080021135,516,516,231.22530719845793,-70.73157774755197,nan,nan,nan,nan,9804,True
19,train,14,-69.75833210504071,-0.13519056609504013,516,516,208.16463158481804,-67.98757575279059,nan,nan,nan,nan,10320,True
20,train,15,-70.20415157380963,-0.13605455731358454,516,516,169.24255620971206,-65.39075382735378,nan,nan,nan,nan,10836,True
21,train,16,-69.10541145237708,-0.13392521599297885,516,516,160.74729152058447,-64.54927703206853,nan,nan,nan,nan,11352,True
22,train,17,24.535228444006115,0.04754889233334519,516,516,153.43482608943023,-63.23686947933463,nan,nan,nan,nan,11868,True
23,train,18,-46.34054209952067,-0.08980725213085401,516,516,142.19567372817403,-62.56477163743603,nan,nan,nan,nan,12384,True
24,train,19,-71.34826379434605,-0.1382718290588102,516,516,133.4454825793126,-60.09017650101536,nan,nan,nan,nan,12900,True
25,train,20,-60.29527805157714,-0.11685131405344408,516,516,136.98732524694398,-60.405816839646924,nan,nan,nan,nan,13416,True
26,train,21,-69.26482785910896,-0.13423416251765302,516,516,133.09623418113057,-58.856564152148344,nan,nan,nan,nan,13932,True
27,train,22,-73.22749380099292,-0.14191374767634285,516,516,141.90862623850504,-56.80396287016166,nan,nan,nan,nan,14448,True
28,train,23,-51.98141156366417,-0.10073916969702358,516,516,119.3272311262382,-55.18429064935492,nan,nan,nan,nan,14964,True
29,train,24,22.29438473389227,0.043206171964907496,516,516,130.20962787598603,-53.354795308076135,nan,nan,nan,nan,15480,True
30,train,25,-28.174412463097383,-0.0546015745408864,516,516,145.2027610882308,-53.0986766963042,nan,nan,nan,nan,15996,True
31,train,26,1.3261332042289002,0.002570025589590892,516,516,140.70878008909003,-52.9620251470758,nan,nan,nan,nan,16512,True
32,train,27,54.332569153530436,0.10529567665412876,516,516,136.4147951066956,-52.92234033392381,nan,nan,nan,nan,17028,True
33,train,28,-25.395339547002422,-0.04921577431589617,516,516,111.7268015026122,-51.19577364588893,nan,nan,nan,nan,17544,True
34,train,29,181.97187712326394,0.35265867659547273,516,516,109.85298712678657,-50.63523375341134,nan,nan,nan,nan,18060,True
35,train,30,-14.829703565122424,-0.028739735591322528,516,516,103.84412177034126,-49.869334686634154,nan,nan,nan,nan,18576,True
36,train,31,74.84764664868462,0.1450535787765206,516,516,90.80897116845892,-47.99322124229845,nan,nan,nan,nan,19092,True
37,train,32,5.417830405717609,0.010499671328910096,516,516,94.1972844767016,-46.348124001377315,nan,nan,nan,nan,19608,True
38,train,33,78.9512334871513,0.15300626644796764,516,516,104.19060431339945,-45.431689454603564,nan,nan,nan,nan,20124,True
39,train,34,-27.73650581525681,-0.05375291824662172,516,516,100.00544668537702,-44.92986781837404,nan,nan,nan,nan,20640,True
40,train,35,-13.402516365092854,-0.025973868924598555,516,516,109.37128538678783,-44.00593544716059,nan,nan,nan,nan,21156,True
41,train,36,-15.382933454116866,-0.029811886538986174,516,516,94.54140518986901,-42.50134887251743,nan,nan,nan,nan,21672,True
42,train,37,4.239294030086439,0.008215686104818681,516,516,83.96236226725024,-41.24694162930629,nan,nan,nan,nan,22188,True
43,train,38,-37.14466300146789,-0.07198578101059669,516,516,86.77316830509393,-40.739974868389986,nan,nan,nan,nan,22704,True
44,train,39,36.84283130758684,0.07140083586741636,516,516,75.94553284682044,-39.985972766728366,nan,nan,nan,nan,23220,True
45,train,40,57.71591947418981,0.11185255712052289,516,516,78.71720370211342,-38.59745897248734,nan,nan,nan,nan,23736,True
46,train,41,61.77004601958613,0.11970939151082584,516,516,72.52620305201803,-37.70764140565266,nan,nan,nan,nan,24252,True
