global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-75.89064749236448,-0.14707489824101644,516,516,53.83716763775478,-10.455500666860694,nan,nan,nan,nan,3096,True
6,train,1,-11.158844369508396,-0.021625667382768207,516,516,116.95264976708464,-25.017953536307164,nan,nan,nan,nan,3612,True
7,train,2,-21.096844921719082,-0.04088535837542458,516,516,173.09088474096254,-36.040295981621554,nan,nan,nan,nan,4128,True
8,train,3,-39.56283698022074,-0.07667216469035026,516,516,479.5015752186147,-45.893587426621785,nan,nan,nan,nan,4644,True
9,train,4,-29.321332612444262,-0.05682428800861291,516,516,717.003706717676,-62.52761727710103,nan,nan,nan,nan,5160,True
10,train,5,-26.76113658237204,-0.05186266779529465,516,516,566.6720462769501,-72.72481519861739,nan,nan,nan,nan,5676,True
11,train,6,-27.288503679938213,-0.05288469705414382,516,516,473.8718842794729,-78.80047770064006,nan,nan,nan,nan,6192,True
12,train,7,-27.264812827613962,-0.05283878454963946,516,516,422.4284868166428,-82.16657470732696,nan,nan,nan,nan,6708,True
13,train,8,-19.195453478561795,-0.03720049123752286,516,516,419.12916325413903,-86.25975063974543,nan,nan,nan,nan,7224,True
14,train,9,-21.426370676220916,-0.04152397417872271,516,516,420.57730670307956,-87.80646813562674,nan,nan,nan,nan,7740,True
15,train,10,-22.88974959618918,-0.04435997983757593,516,516,481.5911754933439,-89.15925321652908,nan,nan,nan,nan,8256,True
16,train,11,-44.90669437357968,-0.08702847746817768,516,516,486.5581814669823,-89.46563563975253,nan,nan,nan,nan,8772,True
17,train,12,-77.33551437823633,-0.1498750278647991,516,516,445.036090348118,-86.44563499716826,nan,nan,nan,nan,9288,True
18,train,13,-76.30308620282982,-0.14787419806749966,516,516,418.1838639725086,-82.11377099502918,nan,nan,nan,nan,9804,True
19,train,14,-56.24686196789746,-0.10900554644941368,516,516,366.34077778897546,-78.35914976282638,nan,nan,nan,nan,10320,True
20,train,15,-75.41810736462425,-0.1461591227996594,516,516,347.03331860091333,-75.07372961857523,nan,nan,nan,nan,10836,True
21,train,16,-73.62698664726592,-0.1426879586187324,516,516,343.79789957150007,-72.42092638976814,nan,nan,nan,nan,11352,True
22,train,17,-73.58829292347447,-0.14261297078192728,516,516,280.11781237106914,-69.18136268438295,nan,nan,nan,nan,11868,True
23,train,18,-72.9280188830599,-0.14133336992841067,516,516,261.8242057386295,-66.47782893513524,nan,nan,nan,nan,12384,True
24,train,19,-71.7315324686848,-0.1390145978075287,516,516,234.0523373507714,-62.37280148498772,nan,nan,nan,nan,12900,True
25,train,20,-71.63251371400514,-0.138822700996134,516,516,244.34329306432443,-61.00547880719798,nan,nan,nan,nan,13416,True
26,train,21,-70.44224998911679,-0.13651598835100154,516,516,237.34843186075372,-58.34866100873134,nan,nan,nan,nan,13932,True
27,train,22,-37.339683847535866,-0.07236372838669741,516,516,210.87343315006225,-55.545707336691926,nan,nan,nan,nan,14448,True
28,train,23,11.535579829754143,0.022355774863864617,516,516,217.26795305947002,-56.364348585291424,nan,nan,nan,nan,14964,True
29,train,24,42.20451671416571,0.08179169905846069,516,516,243.8391116090523,-57.79757484169893,nan,nan,nan,nan,15480,True
30,train,25,18.649573933338708,0.03614258514212928,516,516,259.4159679264985,-61.89305229334868,nan,nan,nan,nan,15996,True
31,train,26,76.34343727059982,0.14795239781123998,516,516,255.07460878061693,-65.31011795073516,nan,nan,nan,nan,16512,True
32,train,27,74.60596624710966,0.14458520590525129,516,516,268.57667007742003,-66.0935999256696,nan,nan,nan,nan,17028,True
33,train,28,35.87283194669656,0.06952099214476078,516,516,241.3975162358247,-66.21206423293712,nan,nan,nan,nan,17544,True
34,train,29,23.400050478142603,0.04534893503516008,516,516,234.50020951263664,-66.09767698687176,nan,nan,nan,nan,18060,True
35,train,30,12.348597220509163,0.02393138996222706,516,516,203.05692263167035,-65.25240674129752,nan,nan,nan,nan,18576,True
36,train,31,5.460691497292558,0.010582735459869298,516,516,190.31451439672662,-65.30167909370836,nan,nan,nan,nan,19092,True
37,train,32,-0.5815262794789271,-0.001126988913718851,516,516,179.71005463415338,-66.13368304200874,nan,nan,nan,nan,19608,True
38,train,33,34.374013615549394,0.06661630545649107,516,516,168.29166586824167,-67.76150788447653,nan,nan,nan,nan,20124,True
39,train,34,-28.992666925304977,-0.05618733900252903,516,516,171.9343449348627,-69.1072736710541,nan,nan,nan,nan,20640,True
40,train,35,68.970093151506,0.13366297122384885,516,516,173.45896521279977,-70.33000940869945,nan,nan,nan,nan,21156,True
41,train,36,18.02718980365641,0.03493641434817134,516,516,172.29868993833082,-72.03311656242194,nan,nan,nan,nan,21672,True
42,train,37,-17.917263464505833,-0.03472337880718185,516,516,160.3835875193278,-72.22233126145001,nan,nan,nan,nan,22188,True
43,train,38,125.0636183409304,0.24237135337389612,516,516,151.3030124265094,-73.28456261361292,nan,nan,nan,nan,22704,True
44,train,39,80.21205725276192,0.15544972335806576,516,516,136.18424910168315,-73.60595903470535,nan,nan,nan,nan,23220,True
45,train,40,99.01603939400087,0.19189154921317997,516,516,135.898845059003,-73.81572074298711,nan,nan,nan,nan,23736,True
46,train,41,22.852196692921897,0.04428720289325949,516,516,129.06557531135027,-74.08534679117129,nan,nan,nan,nan,24252,True
47,train,42,13.373559785138553,0.025917751521586343,516,516,125.50536872065345,-72.94113599792007,nan,nan,nan,nan,24768,True
