global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-75.64579126704113,-0.14660037067256035,516,516,54.770801394946815,-10.12512992628554,nan,nan,nan,nan,3096,True
6,train,1,-45.39148626543151,-0.08796799663843316,516,516,169.05630760784297,-25.736170467480207,nan,nan,nan,nan,3612,True
7,train,2,8.993455327504305,0.017429176991287414,516,516,349.0164189893146,-40.388247138770055,nan,nan,nan,nan,4128,True
8,train,3,-30.62600896711806,-0.05935273055643035,516,516,498.7109071598497,-52.676224608754005,nan,nan,nan,nan,4644,True
9,train,4,-54.59482671423203,-0.10580392774075974,516,516,1014.0914266719375,-66.29196756939555,nan,nan,nan,nan,5160,True
10,train,5,8.264339284044661,0.016016161403187328,516,516,1433.5046755768533,-79.27549286036529,nan,nan,nan,nan,5676,True
11,train,6,-40.876088188184404,-0.0792172251709,516,516,2150.0768472242726,-93.42766361088715,nan,nan,nan,nan,6192,True
12,train,7,-27.96779237572828,-0.05420114801497729,516,516,2407.597779976305,-108.96195059783699,nan,nan,nan,nan,6708,True
13,train,8,-36.88193483434903,-0.07147661789602526,516,516,2852.2398556258327,-123.99094022706498,nan,nan,nan,nan,7224,True
14,train,9,-79.68559424447307,-0.15442944621021912,516,516,2656.5397864053416,-128.09412344111954,nan,nan,nan,nan,7740,True
15,train,10,-77.42543357397533,-0.15004928987204522,516,516,2576.395319620768,-128.3309678366018,nan,nan,nan,nan,8256,True
16,train,11,-75.00409873725553,-0.14535678049855724,516,516,2946.8063982586527,-127.57826547844465,nan,nan,nan,nan,8772,True
17,train,12,-76.99472182631226,-0.1492145771827757,516,516,3315.2344128512595,-129.53810326627982,nan,nan,nan,nan,9288,True
18,train,13,-77.35351139502883,-0.14990990580431945,516,516,3781.618363964465,-134.30961405584054,nan,nan,nan,nan,9804,True
19,train,14,-73.75720457398596,-0.14294031894183326,516,516,4388.084546939347,-139.17721076344336,nan,nan,nan,nan,10320,True
20,train,15,-77.50224754382785,-0.15019815415470514,516,516,5921.7961413952735,-148.82231765569642,nan,nan,nan,nan,10836,True
21,train,16,-74.61039410631818,-0.14459378702774842,516,516,6981.164862581002,-157.5940498973048,nan,nan,nan,nan,11352,True
22,train,17,-76.64874769300748,-0.1485440846763711,516,516,8731.704675009085,-164.64560817748077,nan,nan,nan,nan,11868,True
23,train,18,-74.06469469212702,-0.14353623002350197,516,516,8451.621871593386,-175.19842725945998,nan,nan,nan,nan,12384,True
24,train,19,-73.83581656126711,-0.1430926677543936,516,516,13001.892049626787,-172.3472194967344,nan,nan,nan,nan,12900,True
25,train,20,-84.32300202796486,-0.16341667059683113,516,516,25114.133917756782,-192.26678784688315,nan,nan,nan,nan,13416,True
26,train,21,-85.39937929999236,-0.1655026730620007,516,516,17196.669158225835,-202.15067845721578,nan,nan,nan,nan,13932,True
27,train,22,-72.61918254630864,-0.14073484989594698,516,516,14596.122137498485,-208.90690100470255,nan,nan,nan,nan,14448,True
28,train,23,-35.8227260389145,-0.06942388767231493,516,516,42588.94828098504,-205.31567643779192,nan,nan,nan,nan,14964,True
29,train,24,-14.269754444586798,-0.027654562877106197,516,516,31120.586620715236,-208.439171650613,nan,nan,nan,nan,15480,True
30,train,25,-72.13658934690218,-0.13979959175756237,516,516,23961.246629345325,-204.42340114504793,nan,nan,nan,nan,15996,True
31,train,26,-57.656060250432844,-0.11173655087293187,516,516,31295.23210392442,-197.91969334801962,nan,nan,nan,nan,16512,True
32,train,27,-33.98598818892099,-0.06586431819558332,516,516,26896.556500575338,-192.57429773862972,nan,nan,nan,nan,17028,True
33,train,28,-74.20450305352617,-0.14380717646032204,516,516,21270.33099696433,-172.4600702126821,nan,nan,nan,nan,17544,True
34,train,29,-75.31963539514508,-0.14596828564950598,516,516,21332.75907957092,-158.61090620913248,nan,nan,nan,nan,18060,True
35,train,30,-66.72208871929975,-0.12930637348701501,516,516,21902.167744481285,-139.60744077383086,nan,nan,nan,nan,18576,True
36,train,31,-77.56849062833244,-0.15032653222545048,516,516,18569.182498902315,-123.97839519497036,nan,nan,nan,nan,19092,True
37,train,32,-75.28946495283282,-0.1459098158000636,516,516,13949.968918911247,-111.04417198757793,nan,nan,nan,nan,19608,True
38,train,33,-37.558785355490244,-0.0727883437121904,516,516,22415.507892933925,-95.92276369139205,nan,nan,nan,nan,20124,True
39,train,34,-73.12583455568576,-0.1417167336350499,516,516,12980.327083380647,-78.6711076590442,nan,nan,nan,nan,20640,True
40,train,35,-73.7638013461702,-0.14295310338405076,516,516,17139.837432151617,-68.48773370047873,nan,nan,nan,nan,21156,True
41,train,36,-78.10684134479921,-0.15136984756744032,516,516,22205.49214207849,-48.941872716874116,nan,nan,nan,nan,21672,True
42,train,37,-74.98821761805557,-0.1453260031357666,516,516,10123.475574582122,-38.30512350659038,nan,nan,nan,nan,22188,True
43,train,38,-76.5353244684684,-0.14832427222571395,516,516,10764.688672206199,-30.102265846821687,nan,nan,nan,nan,22704,True
44,train,39,-34.49272032370683,-0.0668463572164861,516,516,20477.946160604788,-18.636611175167467,nan,nan,nan,nan,23220,True
45,train,40,-25.371574173541582,-0.04916971739058446,516,516,14831.13886207758,-8.426473642966544,nan,nan,nan,nan,23736,True
46,train,41,-39.9856857159427,-0.07749163898438508,516,516,10225.242898393972,-5.866480402244154,nan,nan,nan,nan,24252,True
