global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-75.36363217001617,-0.14605355071708562,516,516,54.66267636164214,-10.144296153224715,nan,nan,nan,nan,3096,True
6,train,1,-10.341122615628178,-0.020040935301604997,516,516,173.66489028930664,-25.60760582509891,nan,nan,nan,nan,3612,True
7,train,2,-36.620378999982734,-0.07096972674415258,516,516,352.3053344312564,-39.39635766199393,nan,nan,nan,nan,4128,True
8,train,3,-9.041974051193627,-0.017523205525569043,516,516,434.8864211148994,-49.02637429939684,nan,nan,nan,nan,4644,True
9,train,4,36.15588246485201,0.07006953966056592,516,516,593.3758477499318,-56.6979826845864,nan,nan,nan,nan,5160,True
10,train,5,-69.49474409009174,-0.13467973660870491,516,516,629.3372689180596,-61.02844790155574,nan,nan,nan,nan,5676,True
11,train,6,-41.00057798451098,-0.07945848446610655,516,516,770.7565634971442,-65.63010441240414,nan,nan,nan,nan,6192,True
12,train,7,-41.30938816311706,-0.08005695380449043,516,516,2007.453496947769,-80.89688633763512,nan,nan,nan,nan,6708,True
13,train,8,-40.73134216250892,-0.07893670961726536,516,516,2147.4304557622863,-110.90614266358605,nan,nan,nan,nan,7224,True
14,train,9,-42.518505243926754,-0.08240020396109836,516,516,2152.423225107119,-128.4034527919089,nan,nan,nan,nan,7740,True
15,train,10,-39.9321466190012,-0.07738788104457597,516,516,1998.4718349959498,-139.5319027715875,nan,nan,nan,nan,8256,True
16,train,11,-37.404425811946055,-0.07248919730997297,516,516,1684.837681378505,-147.17570189542548,nan,nan,nan,nan,8772,True
17,train,12,-40.69332034331202,-0.07886302392114732,516,516,1848.884720558344,-152.66466956914857,nan,nan,nan,nan,9288,True
18,train,13,-37.41670946634672,-0.0725130028417572,516,516,2189.60813868323,-156.23664808642957,nan,nan,nan,nan,9804,True
19,train,14,-40.31830111879142,-0.07813624247827794,516,516,1760.1511481233345,-156.29314734584602,nan,nan,nan,nan,10320,True
20,train,15,-35.93087022528787,-0.06963346942885246,516,516,1643.3356956067935,-153.66955069608466,nan,nan,nan,nan,10836,True
21,train,16,-39.14990410046363,-0.07587190717144114,516,516,1334.1275205981824,-149.73524157206217,nan,nan,nan,nan,11352,True
22,train,17,-71.91128524934786,-0.13936295590958886,516,516,1161.5512949625652,-141.2435461532238,nan,nan,nan,nan,11868,True
23,train,18,-72.32252584905244,-0.1401599338159931,516,516,1159.4093745623447,-125.47017999397691,nan,nan,nan,nan,12384,True
24,train,19,-74.47870137578053,-0.1443385685577142,516,516,956.2171544511189,-111.26233097933984,nan,nan,nan,nan,12900,True
25,train,20,-30.537483653034254,-0.05918116987022142,516,516,978.3845163981119,-105.36003546012465,nan,nan,nan,nan,13416,True
26,train,21,-33.66663826336378,-0.06524542299101507,516,516,862.2617262019668,-100.4646175443664,nan,nan,nan,nan,13932,True
27,train,22,-72.638576260345,-0.1407724346130717,516,516,1344.556754178779,-96.10446719236153,nan,nan,nan,nan,14448,True
28,train,23,-76.0098109108351,-0.14730583509851763,516,516,987.3015992512074,-91.59218645465467,nan,nan,nan,nan,14964,True
29,train,24,-78.22076871847685,-0.15159063705131173,516,516,1091.1134553657946,-84.75057208630466,nan,nan,nan,nan,15480,True
30,train,25,-74.9573586411369,-0.145266198916932,516,516,737.7539374181466,-79.10101593372434,nan,nan,nan,nan,15996,True
31,train,26,-76.77149274706602,-0.14878196268811245,516,516,641.4132524239001,-73.73788607397745,nan,nan,nan,nan,16512,True
32,train,27,-76.55775164680355,-0.14836773574961928,516,516,778.0028633295103,-66.2785949041677,nan,nan,nan,nan,17028,True
33,train,28,-76.32230762361202,-0.14791144888296903,516,516,529.0244211891825,-61.454791985740954,nan,nan,nan,nan,17544,True
34,train,29,18.71458661046957,0.036268578702460405,516,516,589.8487814969794,-55.83110697324886,nan,nan,nan,nan,18060,True
35,train,30,9.181907117039072,0.01779439363767262,516,516,582.8737268669661,-48.740019972010174,nan,nan,nan,nan,18576,True
36,train,31,9.914157242412259,0.019213483027930734,516,516,397.0177115802617,-43.921590006628705,nan,nan,nan,nan,19092,True
37,train,32,-16.458181108882435,-0.03189569982341557,516,516,374.4353382938592,-39.55704150273819,nan,nan,nan,nan,19608,True
38,train,33,-19.62342900711183,-0.038029901176573316,516,516,382.49888599011325,-35.60941668259081,nan,nan,nan,nan,20124,True
39,train,34,-34.885745719185515,-0.06760803433950681,516,516,385.93501689822176,-33.54125732784124,nan,nan,nan,nan,20640,True
40,train,35,-11.687945969054702,-0.022651058079563375,516,516,399.3442342891249,-32.371653832206434,nan,nan,nan,nan,21156,True
41,train,36,-53.661399173944815,-0.10399495963942794,516,516,351.4591027636861,-31.280893885812095,nan,nan,nan,nan,21672,True
42,train,37,44.21523215114849,0.08568843440145056,516,516,349.8450263710909,-30.818937321966008,nan,nan,nan,nan,22188,True
43,train,38,-7.725990935911197,-0.014972850650990691,516,516,305.7441354795944,-30.353440750938976,nan,nan,nan,nan,22704,True
44,train,39,87.89414142555421,0.170337483382857,516,516,281.9010668909827,-30.221582176149354,nan,nan,nan,nan,23220,True
45,train,40,27.100999114118668,0.052521316112633075,516,516,237.849645363268,-29.14236931052319,nan,nan,nan,nan,23736,True
46,train,41,0.4344376830769484,0.0008419334943351713,516,516,272.2367281211439,-30.521690730900726,nan,nan,nan,nan,24252,True
