global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-75.12728716983953,-0.14559551777100685,516,516,62.0160024334756,-7.513157705841369,nan,nan,nan,nan,3096,True
6,train,1,-80.16218262031303,-0.15535306709362992,516,516,136.83345097904058,-27.401487404061843,nan,nan,nan,nan,3612,True
7,train,2,-79.85518310761873,-0.1547581067977107,516,516,559.1878795475923,-47.46852895455767,nan,nan,nan,nan,4128,True
8,train,3,-81.27611524894881,-0.15751185125765274,516,516,1103.8203368667484,-65.18037036777467,nan,nan,nan,nan,4644,True
9,train,4,-80.83991325260558,-0.1566664985515612,516,516,1757.4472333331441,-82.28706819696944,nan,nan,nan,nan,5160,True
10,train,5,-82.976849357885,-0.1608078475928004,516,516,2660.897582061531,-99.71145616575728,nan,nan,nan,nan,5676,True
11,train,6,-81.26159422815141,-0.15748370974447948,516,516,3190.098069538442,-108.74165927532107,nan,nan,nan,nan,6192,True
12,eval,0,-86.30764853022322,-0.1672628847484946,516,0,nan,nan,nan,nan,nan,nan,0,False
13,eval,1,-86.75417527232976,-0.16812824665180187,516,0,nan,nan,nan,nan,nan,nan,0,False
