global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-99.9037047432253,-0.19361183089772346,516,516,60.62827332283175,-0.7276211505757587,196654.53301408864,98277.07459522235,98377.4584179889,4.48843647112218,3096,True
6,train,1,-101.59999999999805,-0.19689922480619776,516,516,117.29146999166917,-0.8698225184235462,303513.7081213663,151756.8538487161,151756.8543029312,10.202600824740506,3612,True
7,train,2,-101.59999912977213,-0.19689922311971342,516,516,402.0208253490832,-0.86983265410098,313657.70288275194,156828.85150193798,156828.85147165696,24.14684809825217,4128,True
8,train,3,-101.59999999999805,-0.19689922480619776,516,516,650.6745431589526,-0.8698261620462403,323100.65201065893,161550.32597504844,161550.32606589148,64.22062596609426,4644,True
9,train,4,-101.59999999999805,-0.19689922480619776,516,516,804.1088291730067,-0.8698349124932474,330865.1595203488,165432.5797601744,165432.5797601744,186.96874106946842,5160,True
10,train,5,-101.59999999999805,-0.19689922480619776,516,516,843.3096183362858,-0.8698030233152153,337321.2275920543,168660.6136749031,168660.61391715117,573.5986698357634,5676,True
11,train,6,-101.59999999999805,-0.19689922480619776,516,516,741.9970454134682,-0.8698442860167156,348791.949309593,174395.9746245155,174395.97471535852,1831.8040223823962,6192,True
12,eval,0,-101.59999999999805,-0.19689922480619776,516,0,nan,nan,nan,nan,nan,nan,0,False
13,eval,1,-101.59999999999805,-0.19689922480619776,516,0,nan,nan,nan,nan,nan,nan,0,False
