global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,533.2279904263077,0.27557002089214866,1935,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,448.67823106790183,0.23187505481545315,1935,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,297.4658092815319,0.15372910040389245,1935,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,482.3894273475185,0.24929686167830414,1935,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,532.202995791379,0.27504030790252143,1935,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-241.01145775642388,-0.12455372493872036,1935,968,54.498814743966605,-0.7998624199776225,240856.1003511378,120383.68127009209,120472.41911953219,1.0,5808,True
6,train,1,-243.49999921320904,-0.12583979287504343,1935,968,352.04131366398707,-0.8698285693718382,298961.1512299845,149480.57518724175,149480.57599431818,1.0,6776,True
7,train,2,-243.49999997614816,-0.1258397932693272,1935,968,724.8896356062455,-0.8698251900101496,311337.91314243287,155668.95657121643,155668.95660349948,1.0,7744,True
8,train,3,-243.49999999999,-0.12583979328164857,1935,968,934.0096486934946,-0.8698301413211941,317446.98150180787,158723.49070247935,158723.49079932852,1.0,8712,True
9,train,4,-243.49999999999,-0.12583979328164857,1935,968,1039.069187857888,-0.8698361443956036,323222.9037319215,161611.45186596076,161611.45186596076,1.0,9680,True
10,train,5,-243.49999999999,-0.12583979328164857,1935,968,970.4929764802791,-0.8698379074739031,338181.5908445248,169090.79532541323,169090.7955352531,1.0,10648,True
11,train,6,-243.49999999999,-0.12583979328164857,1935,968,861.8838635909656,-0.869833723387935,347840.59923811984,173920.29961905992,173920.29961905992,1.0,11616,True
12,eval,0,-243.49999999999,-0.12583979328164857,1935,0,nan,nan,nan,nan,nan,nan,0,False
13,eval,1,-243.49999999999,-0.12583979328164857,1935,0,nan,nan,nan,nan,nan,nan,0,False
