global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,533.2279904263077,0.27557002089214866,1935,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,448.67823106790183,0.23187505481545315,1935,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,297.4658092815319,0.15372910040389245,1935,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,482.3894273475185,0.24929686167830414,1935,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,532.202995791379,0.27504030790252143,1935,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-131.39657872026422,-0.06790520864096342,1935,968,63.25305786248573,-20.542208970789915,nan,nan,nan,nan,5808,True
6,train,1,-128.65796839013697,-0.06648990614477363,1935,968,451.605251469888,-53.17484977028587,nan,nan,nan,nan,6776,True
7,train,2,-115.62214045305998,-0.05975304416178811,1935,968,1090.1170922113845,-84.31374403267853,nan,nan,nan,nan,7744,True
8,train,3,-138.96197269575822,-0.07181497296938409,1935,968,1630.6824220704639,-119.91873796321144,nan,nan,nan,nan,8712,True
9,train,4,-153.41729739636364,-0.07928542501104063,1935,968,2168.5777027350814,-152.44113037802956,nan,nan,nan,nan,9680,True
10,train,5,-157.65795865280887,-0.0814769812159219,1935,968,2706.505521853108,-171.78668922235158,nan,nan,nan,nan,10648,True
11,train,6,-159.5936022367072,-0.08247731381741974,1935,968,3174.5041225212663,-185.09868000755625,nan,nan,nan,nan,11616,True
12,eval,0,-167.73459370976465,-0.08668454455284995,1935,0,nan,nan,nan,nan,nan,nan,0,False
13,eval,1,-168.71215337435692,-0.08718974334592089,1935,0,nan,nan,nan,nan,nan,nan,0,False
