global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,533.2279904263077,0.27557002089214866,1935,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,448.67823106790183,0.23187505481545315,1935,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,297.4658092815319,0.15372910040389245,1935,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,482.3894273475185,0.24929686167830414,1935,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,532.202995791379,0.27504030790252143,1935,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-240.03643808983531,-0.12404983880611645,1935,968,53.484973360499566,-0.7888068327197251,261217.37277012065,130593.43759940063,130623.9351830193,7.0158884072106735,5808,True
6,train,1,-243.49999821185384,-0.1258397923575472,1935,968,344.1279161232562,-0.8698289536617019,348719.6298101756,174359.8147920971,174359.81501807852,37.40960814539066,6776,True
7,train,2,-243.49999995230627,-0.1258397932570058,1935,968,688.8476497397935,-0.8698251792960916,366051.20170454547,183025.60085227274,183025.60085227274,272.4010748114468,7744,True
8,train,3,-243.49999999999,-0.12583979328164857,1935,968,804.2735729059897,-0.869830223708606,377807.3452350207,188903.67256908576,188903.67263365185,2343.1172492917904,8712,True
9,train,4,-243.49999999999,-0.12583979328164857,1935,968,813.5387708648177,-0.8698362044312737,384875.7165870351,192437.85829351755,192437.8583096591,21417.090075280055,9680,True
10,train,5,-243.49999999999,-0.12583979328164857,1935,968,758.1952457585611,-0.8698381740938533,397378.4815340909,198689.24063791323,198689.24088003614,201855.84773292227,10648,True
11,train,6,-243.49999999999,-0.12583979328164857,1935,968,650.324078488941,-0.8698337212943834,407087.9243930785,203543.96219653924,203543.96219653924,1914981.513978564,11616,True
12,eval,0,-243.49999999999,-0.12583979328164857,1935,0,nan,nan,nan,nan,nan,nan,0,False
13,eval,1,-243.49999999999,-0.12583979328164857,1935,0,nan,nan,nan,nan,nan,nan,0,False
