global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,467.88158450675263,0.9067472567960322,516,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,397.4683372629012,0.7702874753157,516,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,253.99588917020768,0.49224009529110013,516,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,406.6774209321472,0.7881345366902077,516,0,nan,nan,nan,nan,nan,nan,0,False
4,warmup,4,439.9159926589123,0.8525503733699851,516,0,nan,nan,nan,nan,nan,nan,0,False
5,train,0,-99.86918842298402,-0.1935449388042326,516,516,60.08769762284996,-0.7278019080214679,197184.55789894512,98539.4865259784,98645.07129742921,4.488347214321758,3096,True
6,train,1,-101.59999999999805,-0.19689922480619776,516,516,125.38880013310632,-0.8698226795640103,303744.46929505817,151872.23446584304,151872.23488977714,10.197184107100316,3612,True
7,train,2,-101.59999911785125,-0.19689922309661095,516,516,407.17764953495,-0.8698326558336731,313420.5480256783,156710.27398255814,156710.27405826066,24.11379877171775,4128,True
8,train,3,-101.59999999999805,-0.19689922480619776,516,516,696.9325238604878,-0.8698261376730231,322726.92759811046,161363.46376877424,161363.46382933625,64.10083355275235,4644,True
9,train,4,-101.59999999999805,-0.19689922480619776,516,516,897.0684558365696,-0.8698348793410515,330284.3176477713,165142.15882388566,165142.15882388566,186.5229821168175,5160,True
10,train,5,-101.59999999999805,-0.19689922480619776,516,516,995.1885668140973,-0.869803002869436,337016.59502180235,168508.29742005814,168508.29760174418,572.4037919155387,5676,True
11,train,6,-101.59999999999805,-0.19689922480619776,516,516,916.4223249568496,-0.8698442622210628,348421.51604893414,174210.75793362403,174210.75811531008,1827.9521099948145,6192,True
12,eval,0,-101.59999999999805,-0.19689922480619776,516,0,nan,nan,nan,nan,nan,nan,0,False
13,eval,1,-101.59999999999805,-0.19689922480619776,516,0,nan,nan,nan,nan,nan,nan,0,False
