global_idx,phase,episode_idx,episode_return,avg_reward,steps,n_train_updates,q_loss_mean,pi_loss_mean,kl_mean,kl_mu_mean,kl_sigma_mean,eta_mean,buffer_size,in_exploration
0,warmup,0,-270775.7924109567,-93.27447206715698,2903,0,nan,nan,nan,nan,nan,nan,0,False
1,warmup,1,-258084.69679490113,-88.90275466582884,2903,0,nan,nan,nan,nan,nan,nan,0,False
2,warmup,2,-258772.70424293893,-89.13975344228002,2903,0,nan,nan,nan,nan,nan,nan,0,False
3,warmup,3,-258772.70424293893,-89.13975344228002,2903,0,nan,nan,nan,nan,nan,nan,0,False
4,train,0,-2300.0,-100.0,23,20,17476.17861328125,-0.12925746906548738,3.892487382888794,1.4498815938830376,2.442605751752853,2.744896852970123,11635,True
5,train,1,-2500.0,-100.0,25,25,11057.438715820312,-0.33431050717830657,1181.441756286621,590.0596027755737,591.3821766090393,2.81648344039917,11660,True
6,train,2,-1900.0,-100.0,19,19,1974.0173114977385,-0.5464430153369904,17776.556178042763,8887.943616365132,8888.612535978618,2.903579498592176,11679,True
7,train,3,-2700.0,-100.0,27,27,1204.9165084273727,-0.6206952112692373,35104.47265625,17543.973054108796,17560.499602141204,3.0211434540925204,11706,True
8,train,4,-1900.0,-100.0,19,19,1025.337816740337,-0.8255914669287833,130393.21628289473,65064.24609375,65328.97101151316,3.1528359212373434,11725,True
9,train,5,-1900.0,-100.0,19,19,943.1679944490131,-0.8696527386966505,258787.63569078947,129393.75863486843,129393.87746710527,3.2880452557613977,11744,True
10,train,6,-1900.0,-100.0,19,19,918.2207352487665,-0.8696941576505962,287348.33388157893,143674.16241776315,143674.17105263157,3.4238898503152946,11763,True
11,train,7,-1900.0,-100.0,19,19,791.2797915810033,-0.8698588233245047,286391.13898026315,143195.56702302632,143195.57277960525,3.549214852483649,11782,True
12,train,8,-1900.0,-100.0,19,19,803.3174695466694,-0.8697627845563387,288582.0493421053,144291.0119243421,144291.0394736842,3.6655959832040885,11801,True
13,train,9,-1900.0,-100.0,19,19,719.0239322060033,-0.8699015504435489,288206.6685855263,144103.33429276315,144103.33429276315,3.778590591330277,11820,True
14,eval,0,-262582.3048415708,-90.45205127163996,2903,0,nan,nan,nan,nan,nan,nan,0,False
15,eval,1,-262582.3048415708,-90.45205127163996,2903,0,nan,nan,nan,nan,nan,nan,0,False
