id,status,theme,section_hint,source,dest,notes
plot-000,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217137783822_ml_mpo_learn_cadence_cadence_1_1_50_23-30-16/plots/learning_curves.png,candidates/plots/plot_000_trend-learning-curve_3f03a367.png,hardlink; run=9998217137783822_ml_mpo_learn_cadence_cadence_1_1_50_23-30-16
plot-001,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217138176094_ml_mpo_learn_cadence_cadence_1_1_10_23-23-43/plots/learning_curves.png,candidates/plots/plot_001_trend-learning-curve_7ec1aa99.png,hardlink; run=9998217138176094_ml_mpo_learn_cadence_cadence_1_1_10_23-23-43
plot-002,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217138572967_ml_mpo_learn_cadence_baseline_1_1_1_23-17-06/plots/learning_curves.png,candidates/plots/plot_002_trend-learning-curve_59e0c659.png,hardlink; run=9998217138572967_ml_mpo_learn_cadence_baseline_1_1_1_23-17-06
plot-003,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217140497791_ml_mpo_vector_torque_effort_vector_torque_effort_22-45-01/plots/learning_curves.png,candidates/plots/plot_003_trend-learning-curve_660bb4c2.png,hardlink; run=9998217140497791_ml_mpo_vector_torque_effort_vector_torque_effort_22-45-01
plot-004,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217142297111_ml_mpo_decoupled_dual_vector_sparse_22-15-02/plots/learning_curves.png,candidates/plots/plot_004_trend-learning-curve_2d4bc258.png,hardlink; run=9998217142297111_ml_mpo_decoupled_dual_vector_sparse_22-15-02
plot-005,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217144237087_ml_mpo_safe_mode_penalty_safe_mode_penalty_on_21-42-42/plots/learning_curves.png,candidates/plots/plot_005_trend-learning-curve_fe6ea712.png,hardlink; run=9998217144237087_ml_mpo_safe_mode_penalty_safe_mode_penalty_on_21-42-42
plot-006,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217164480175_ml_mpo_decoupled_dual_torque_sparse_16-05-19/plots/learning_curves.png,candidates/plots/plot_006_trend-learning-curve_59b0f31c.png,hardlink; run=9998217164480175_ml_mpo_decoupled_dual_torque_sparse_16-05-19
plot-007,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217165798903_ml_sac_shutter_split_15-43-20/plots/learning_curves.png,candidates/plots/plot_007_trend-learning-curve_aed2ad41.png,hardlink; run=9998217165798903_ml_sac_shutter_split_15-43-20
plot-008,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217172220712_ml_sac_vector_budget_13-56-17/plots/learning_curves.png,candidates/plots/plot_008_trend-learning-curve_4f2bfa81.png,hardlink; run=9998217172220712_ml_sac_vector_budget_13-56-17
plot-009,backup,trend-learning-curve,Results,backend/autonomous_control/runs/9998217182442815_ml_ref_ref1_vector_11-05-57/plots/learning_curves.png,candidates/plots/plot_009_trend-learning-curve_018977d9.png,hardlink; run=9998217182442815_ml_ref_ref1_vector_11-05-57
